total_positive_test_examples=165141
total_false_negative_test_examples=7544

mechanism | n_positive_with_type | n_false_negative_with_type | prevalence_among_positive_pct | false_negative_rate_within_type_pct
substitution | 135858 | 5832 | 82.267880 | 4.292717
insertion | 65520 | 3825 | 39.675187 | 5.837912
deletion | 19425 | 2017 | 11.762676 | 10.383526
non_ascii | 105807 | 1036 | 64.070703 | 0.979141
digit_change | 9958 | 709 | 6.029999 | 7.119904
affix | 9261 | 651 | 5.607935 | 7.029478
hyphen_change | 10454 | 447 | 6.330348 | 4.275875
digit_substitution | 2066 | 167 | 1.251052 | 8.083253
repeat_char | 1610 | 23 | 0.974924 | 1.428571
transposition | 1202 | 23 | 0.727863 | 1.913478
mixed_script | 941 | 18 | 0.569816 | 1.912859
numeric_affix | 70 | 17 | 0.042388 | 24.285714
leet_pair | 493 | 8 | 0.298533 | 1.622718
separator_change | 3891 | 4 | 2.356168 | 0.102801
visual_confusable | 843 | 1 | 0.510473 | 0.118624
multichar_confusable | 113 | 1 | 0.068426 | 0.884956
unicode_homoglyph | 30014 | 0 | 18.174772 | 0.000000
punycode | 135 | 0 | 0.081748 | 0.000000
