mechanism,n_positive_with_type,n_false_negative_with_type,prevalence_among_positive,prevalence_among_positive_pct,false_negative_rate_within_type,false_negative_rate_within_type_pct
substitution,135898,7426,0.8229210190079992,82.29210190079992,0.05464392411956026,5.464392411956026
insertion,65529,4610,0.39680636546950787,39.68063654695079,0.07035053182560393,7.035053182560393
non_ascii,105807,2389,0.6407070321725071,64.07070321725071,0.022578846390125418,2.2578846390125418
deletion,19346,2200,0.11714837623606494,11.714837623606494,0.11371859815982632,11.371859815982631
digit_change,9958,967,0.060299986072507736,6.029998607250773,0.09710785298252661,9.710785298252661
hyphen_change,10538,642,0.06381213629565038,6.381213629565038,0.06092237616245967,6.092237616245967
affix,9242,547,0.05596429717635233,5.596429717635234,0.059186323306643585,5.918632330664359
digit_substitution,2066,132,0.01251052131209088,1.2510521312090879,0.06389157792836399,6.389157792836399
mixed_script,941,25,0.005698160965477986,0.5698160965477985,0.026567481402763018,2.6567481402763016
transposition,1202,18,0.007278628565892177,0.7278628565892178,0.014975041597337771,1.497504159733777
repeat_char,1609,13,0.009743189153511241,0.9743189153511241,0.008079552517091361,0.8079552517091362
numeric_affix,70,11,0.00042388019934480234,0.042388019934480235,0.15714285714285714,15.714285714285714
leet_pair,493,5,0.0029853276896712505,0.29853276896712505,0.010141987829614604,1.0141987829614605
separator_change,3893,4,0.02357379451499022,2.357379451499022,0.0010274852298998202,0.10274852298998202
visual_confusable,843,3,0.005104728686395262,0.5104728686395262,0.0035587188612099642,0.3558718861209964
multichar_confusable,113,3,0.0006842637503708951,0.06842637503708951,0.02654867256637168,2.6548672566371683
unicode_homoglyph,30014,2,0.1817477186162128,18.17477186162128,6.663557006730193e-05,0.006663557006730193
punycode,135,0,0.0008174832415935473,0.08174832415935473,0.0,0.0
