total_positive_test_examples=165141
total_false_negative_test_examples=9078

mechanism | n_positive_with_type | n_false_negative_with_type | prevalence_among_positive_pct | false_negative_rate_within_type_pct
substitution | 135898 | 7426 | 82.292102 | 5.464392
insertion | 65529 | 4610 | 39.680637 | 7.035053
non_ascii | 105807 | 2389 | 64.070703 | 2.257885
deletion | 19346 | 2200 | 11.714838 | 11.371860
digit_change | 9958 | 967 | 6.029999 | 9.710785
hyphen_change | 10538 | 642 | 6.381214 | 6.092238
affix | 9242 | 547 | 5.596430 | 5.918632
digit_substitution | 2066 | 132 | 1.251052 | 6.389158
mixed_script | 941 | 25 | 0.569816 | 2.656748
transposition | 1202 | 18 | 0.727863 | 1.497504
repeat_char | 1609 | 13 | 0.974319 | 0.807955
numeric_affix | 70 | 11 | 0.042388 | 15.714286
leet_pair | 493 | 5 | 0.298533 | 1.014199
separator_change | 3893 | 4 | 2.357379 | 0.102749
visual_confusable | 843 | 3 | 0.510473 | 0.355872
multichar_confusable | 113 | 3 | 0.068426 | 2.654867
unicode_homoglyph | 30014 | 2 | 18.174772 | 0.006664
punycode | 135 | 0 | 0.081748 | 0.000000
