mechanism,n_positive_with_type,n_false_negative_with_type,prevalence_among_positive,prevalence_among_positive_pct,false_negative_rate_within_type,false_negative_rate_within_type_pct
substitution,135858,8523,0.8226788017512308,82.26788017512308,0.06273461997085192,6.2734619970851915
insertion,65520,5296,0.39675186658673495,39.675186658673496,0.08083028083028083,8.083028083028083
deletion,19425,2661,0.11762675531818265,11.762675531818264,0.136988416988417,13.698841698841699
non_ascii,105807,2356,0.6407070321725071,64.07070321725071,0.022266957762718913,2.226695776271891
digit_change,9958,1010,0.060299986072507736,6.029998607250773,0.10142598915444868,10.142598915444868
affix,9261,750,0.05607935037331735,5.607935037331735,0.08098477486232589,8.09847748623259
hyphen_change,10454,641,0.06330348005643661,6.330348005643661,0.06131624258656974,6.131624258656974
digit_substitution,2066,276,0.01251052131209088,1.2510521312090879,0.1335914811229429,13.359148112294289
unicode_homoglyph,30014,247,0.1817477186162128,18.17477186162128,0.008229492903311788,0.8229492903311788
transposition,1202,106,0.007278628565892177,0.7278628565892178,0.08818635607321132,8.818635607321132
repeat_char,1610,82,0.009749244584930454,0.9749244584930453,0.05093167701863354,5.093167701863354
mixed_script,941,41,0.005698160965477986,0.5698160965477985,0.04357066950053135,4.357066950053135
leet_pair,493,36,0.0029853276896712505,0.29853276896712505,0.07302231237322515,7.302231237322515
numeric_affix,70,19,0.00042388019934480234,0.042388019934480235,0.2714285714285714,27.142857142857142
separator_change,3891,17,0.023561683652151798,2.3561683652151797,0.004369056797738371,0.43690567977383704
visual_confusable,843,10,0.005104728686395262,0.5104728686395262,0.011862396204033215,1.1862396204033214
multichar_confusable,113,8,0.0006842637503708951,0.06842637503708951,0.07079646017699115,7.079646017699115
punycode,135,2,0.0008174832415935473,0.08174832415935473,0.014814814814814815,1.4814814814814816
