total_positive_test_examples=165141
total_false_negative_test_examples=10820

mechanism | n_positive_with_type | n_false_negative_with_type | prevalence_among_positive_pct | false_negative_rate_within_type_pct
substitution | 135858 | 8523 | 82.267880 | 6.273462
insertion | 65520 | 5296 | 39.675187 | 8.083028
deletion | 19425 | 2661 | 11.762676 | 13.698842
non_ascii | 105807 | 2356 | 64.070703 | 2.226696
digit_change | 9958 | 1010 | 6.029999 | 10.142599
affix | 9261 | 750 | 5.607935 | 8.098477
hyphen_change | 10454 | 641 | 6.330348 | 6.131624
digit_substitution | 2066 | 276 | 1.251052 | 13.359148
unicode_homoglyph | 30014 | 247 | 18.174772 | 0.822949
transposition | 1202 | 106 | 0.727863 | 8.818636
repeat_char | 1610 | 82 | 0.974924 | 5.093168
mixed_script | 941 | 41 | 0.569816 | 4.357067
leet_pair | 493 | 36 | 0.298533 | 7.302231
numeric_affix | 70 | 19 | 0.042388 | 27.142857
separator_change | 3891 | 17 | 2.356168 | 0.436906
visual_confusable | 843 | 10 | 0.510473 | 1.186240
multichar_confusable | 113 | 8 | 0.068426 | 7.079646
punycode | 135 | 2 | 0.081748 | 1.481481
