classification_type | frequency_pct | model_missed_pct | raw_errors | avg_fraudulent_name_length | avg_real_name_length | avg_length_distance
punycode | 0.081748 | 0.000000 | 0 | 21.177778 | 20.866667 | 0.533333
Non-ASCII | 64.070703 | 0.724905 | 767 | 9.385003 | 9.110333 | 0.343304
unicode_homoglyph | 18.174772 | 0.000000 | 0 | 9.183081 | 9.183081 | 0.000000
hyphen_change | 6.330348 | 2.974938 | 311 | 10.652860 | 9.323991 | 1.351636
digit_change | 6.029999 | 5.683872 | 566 | 9.877787 | 9.443061 | 0.525105
transposition | 0.727863 | 0.998336 | 12 | 9.291181 | 9.291181 | 0.000000
insertion | 39.675187 | 4.278083 | 2803 | 10.014698 | 8.965888 | 1.070055
deletion | 11.762676 | 8.000000 | 1554 | 9.547851 | 9.600772 | 0.550013
substitution | 82.267880 | 3.327739 | 4521 | 9.548271 | 9.212229 | 0.415890
digit_substitution | 1.251052 | 5.856728 | 121 | 8.191191 | 8.191675 | 0.000484
mixed_script | 0.569816 | 1.487779 | 14 | 7.953241 | 7.717322 | 0.282678
separator_change | 2.356168 | 0.000000 | 0 | 10.204318 | 9.121306 | 1.090722
repeat_char | 0.974924 | 0.745342 | 12 | 10.373292 | 9.364596 | 1.078261
affix | 5.607935 | 4.060037 | 376 | 8.417126 | 7.216391 | 1.297700
digit_affix | 0.042388 | 18.571429 | 13 | 5.971429 | 5.814286 | 1.042857
visual_confusable | 0.510473 | 0.118624 | 1 | 9.149466 | 9.017794 | 0.141163
multichar_confusable | 0.068426 | 0.884956 | 1 | 9.734513 | 8.805310 | 1.000000
leet_pair | 0.298533 | 0.000000 | 0 | 9.539554 | 9.539554 | 0.000000
