flag,model,bin_idx,bin_lo,bin_hi,n,error_rate,werr
identical,vate,4,0.056232184171676636,0.067271888256073,1468,0.0,0.0
identical,aligned_deja,4,0.029673337936401367,0.03430074453353882,479,0.0,0.0
identical,aligned_deja,5,0.03430074453353882,0.04834541380405426,989,0.0,0.0
identical,aligned_source,4,0.030103623867034912,0.03491508960723877,414,0.0,0.0
identical,aligned_source,5,0.03491508960723877,0.049367728829383825,1054,0.0,0.0
identical,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,472,0.0,0.0
identical,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,996,0.0,0.0
punycode,vate,0,0.0,0.014221474528312683,15,0.6,0.005033361911773682
punycode,vate,1,0.014221474528312683,0.026427507400512695,12,0.3333333333333333,0.006822849313418071
punycode,vate,2,0.026427507400512695,0.039520263671875,39,0.6410256410256411,0.020932507820618458
punycode,vate,3,0.039520263671875,0.056232184171676636,110,0.09090909090909091,0.003928525339473378
punycode,vate,4,0.056232184171676636,0.067271888256073,32,0.0,0.0
punycode,vate,5,0.067271888256073,0.10144402384757996,2,0.0,0.0
punycode,aligned_deja,0,0.0,0.007757246494293213,13,0.6153846153846154,0.0018781286019545335
punycode,aligned_deja,1,0.007757246494293213,0.014355868101119995,26,0.5,0.005642540179766142
punycode,aligned_deja,2,0.014355868101119995,0.02157685160636902,34,0.6470588235294118,0.011662910966312183
punycode,aligned_deja,3,0.02157685160636902,0.029673337936401367,64,0.09375,0.0023146262392401695
punycode,aligned_deja,4,0.029673337936401367,0.03430074453353882,69,0.0,0.0
punycode,aligned_deja,5,0.03430074453353882,0.04834541380405426,4,0.0,0.0
punycode,aligned_source,0,0.0,0.00802774727344513,14,0.2857142857142857,0.0013301372528076172
punycode,aligned_source,1,0.00802774727344513,0.014777213335037231,19,0.631578947368421,0.007418648192757054
punycode,aligned_source,2,0.014777213335037231,0.02207021415233612,35,0.6857142857142857,0.012693800245012555
punycode,aligned_source,3,0.02207021415233612,0.030103623867034912,62,0.0967741935483871,0.002455625803239884
punycode,aligned_source,4,0.030103623867034912,0.03491508960723877,71,0.0,0.0
punycode,aligned_source,5,0.03491508960723877,0.049367728829383825,9,0.0,0.0
punycode,aligned_pacifico,0,0.0,0.007944509387016296,11,0.45454545454545453,0.0022082762284712358
punycode,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,20,0.55,0.006327939033508301
punycode,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,34,0.6764705882352942,0.012003207907957189
punycode,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,67,0.13432835820895522,0.0032306402476865856
punycode,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,69,0.0,0.0
punycode,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,9,0.0,0.0
non_ascii,vate,0,0.0,0.014221474528312683,28203,0.2718505123568415,0.0015549741539300657
non_ascii,vate,1,0.014221474528312683,0.026427507400512695,32518,0.06725505873669968,0.001290985848955126
non_ascii,vate,2,0.026427507400512695,0.039520263671875,32687,0.022088291981521707,0.0007001266554036743
non_ascii,vate,3,0.039520263671875,0.056232184171676636,12316,0.018674894446248782,0.0008504430933717243
non_ascii,vate,4,0.056232184171676636,0.067271888256073,69,0.7101449275362319,0.043318354565164315
non_ascii,vate,5,0.067271888256073,0.10144402384757996,14,1.0,0.0753568070275443
non_ascii,aligned_deja,0,0.0,0.007757246494293213,27983,0.25454740378086693,0.0007882898050580939
non_ascii,aligned_deja,1,0.007757246494293213,0.014355868101119995,32163,0.05102135994776607,0.0005274226396930301
non_ascii,aligned_deja,2,0.014355868101119995,0.02157685160636902,31909,0.014604030210912281,0.0002490026727652661
non_ascii,aligned_deja,3,0.02157685160636902,0.029673337936401367,13196,0.009245225826007881,0.0002299996127356685
non_ascii,aligned_deja,4,0.029673337936401367,0.03430074453353882,548,0.020072992700729927,0.0006292327477114044
non_ascii,aligned_deja,5,0.03430074453353882,0.04834541380405426,8,1.0,0.038567230105400085
non_ascii,aligned_source,0,0.0,0.00802774727344513,27366,0.24859314477819192,0.0007846376478240773
non_ascii,aligned_source,1,0.00802774727344513,0.014777213335037231,32088,0.04606083271004737,0.0004927677217786433
non_ascii,aligned_source,2,0.014777213335037231,0.02207021415233612,32113,0.014168716719085728,0.0002461565864998234
non_ascii,aligned_source,3,0.02207021415233612,0.030103623867034912,13618,0.007122925539726832,0.00017922230361404004
non_ascii,aligned_source,4,0.030103623867034912,0.03491508960723877,616,0.012987012987012988,0.0004176522617216234
non_ascii,aligned_source,5,0.03491508960723877,0.049367728829383825,6,1.0,0.037081380685170494
non_ascii,aligned_pacifico,0,0.0,0.007944509387016296,26975,0.24500463392029656,0.0007577163538963735
non_ascii,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,32081,0.04457467036563698,0.0004735444721031552
non_ascii,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,32293,0.012107887158207662,0.00021376760193552455
non_ascii,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,13806,0.006736201651455889,0.0001656354924276154
non_ascii,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,644,0.012422360248447204,0.00039680681613661487
non_ascii,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,8,1.0,0.036791786551475525
unicode_marks_only,vate,0,0.0,0.014221474528312683,5801,0.23030511980692983,0.0012670577116987455
unicode_marks_only,vate,1,0.014221474528312683,0.026427507400512695,8286,0.04175718078686942,0.0008003841613531976
unicode_marks_only,vate,2,0.026427507400512695,0.039520263671875,10565,0.008991954566966399,0.0002803833181125769
unicode_marks_only,vate,3,0.039520263671875,0.056232184171676636,5348,0.004674644727000748,0.0002054444826977772
unicode_marks_only,vate,4,0.056232184171676636,0.067271888256073,13,0.3076923076923077,0.018633063022906963
unicode_marks_only,vate,5,0.067271888256073,0.10144402384757996,1,1.0,0.072723388671875
unicode_marks_only,aligned_deja,0,0.0,0.007757246494293213,5511,0.2101252041371802,0.0006059621903667475
unicode_marks_only,aligned_deja,1,0.007757246494293213,0.014355868101119995,8162,0.023768684146042638,0.00024269290836206168
unicode_marks_only,aligned_deja,2,0.014355868101119995,0.02157685160636902,10369,0.0040505352493008006,6.806295142705834e-05
unicode_marks_only,aligned_deja,3,0.02157685160636902,0.029673337936401367,5683,0.0014077071969030442,3.557232050079287e-05
unicode_marks_only,aligned_deja,4,0.029673337936401367,0.03430074453353882,289,0.0,0.0
unicode_marks_only,aligned_source,0,0.0,0.00802774727344513,5354,0.2002241314904744,0.0005843051120243636
unicode_marks_only,aligned_source,1,0.00802774727344513,0.014777213335037231,8050,0.021739130434782608,0.0002238940970497842
unicode_marks_only,aligned_source,2,0.014777213335037231,0.02207021415233612,10437,0.0034492670307559644,5.871943841780512e-05
unicode_marks_only,aligned_source,3,0.02207021415233612,0.030103623867034912,5852,0.0008544087491455912,2.1459495296074115e-05
unicode_marks_only,aligned_source,4,0.030103623867034912,0.03491508960723877,321,0.0,0.0
unicode_marks_only,aligned_pacifico,0,0.0,0.007944509387016296,5276,0.19465504169825626,0.0005675884157170664
unicode_marks_only,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,8076,0.01981178801386825,0.0002062428685448558
unicode_marks_only,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,10406,0.0033634441668268307,5.740236026288087e-05
unicode_marks_only,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,5910,0.0008460236886632825,2.147546274407866e-05
unicode_marks_only,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,345,0.0,0.0
unicode_marks_only,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,1,1.0,0.03501999378204346
unicode_homoglyph,vate,0,0.0,0.014221474528312683,5801,0.23030511980692983,0.0012670577116987455
unicode_homoglyph,vate,1,0.014221474528312683,0.026427507400512695,8286,0.04175718078686942,0.0008003841613531976
unicode_homoglyph,vate,2,0.026427507400512695,0.039520263671875,10565,0.008991954566966399,0.0002803833181125769
unicode_homoglyph,vate,3,0.039520263671875,0.056232184171676636,5348,0.004674644727000748,0.0002054444826977772
unicode_homoglyph,vate,4,0.056232184171676636,0.067271888256073,13,0.3076923076923077,0.018633063022906963
unicode_homoglyph,vate,5,0.067271888256073,0.10144402384757996,1,1.0,0.072723388671875
unicode_homoglyph,aligned_deja,0,0.0,0.007757246494293213,5511,0.2101252041371802,0.0006059621903667475
unicode_homoglyph,aligned_deja,1,0.007757246494293213,0.014355868101119995,8162,0.023768684146042638,0.00024269290836206168
unicode_homoglyph,aligned_deja,2,0.014355868101119995,0.02157685160636902,10369,0.0040505352493008006,6.806295142705834e-05
