flag,n_flag,flag_rate,vate_error_count,vate_error_rate,aligned_deja_error_count,aligned_deja_error_rate,aligned_deja_delta_error_count,aligned_deja_delta_error_rate,aligned_source_error_count,aligned_source_error_rate,aligned_source_delta_error_count,aligned_source_delta_error_rate,aligned_pacifico_error_count,aligned_pacifico_error_rate,aligned_pacifico_delta_error_count,aligned_pacifico_delta_error_rate
punycode,210,0.0008174832415935473,48,0.22857142857142856,49,0.23333333333333334,1,0.004761904761904773,46,0.21904761904761905,-2,-0.009523809523809518,48,0.22857142857142856,0,0.0
non_ascii,105807,0.41188309211089746,10869,0.10272477246306955,9371,0.08856691901291976,-1498,-0.01415785345014979,8847,0.08361450565652556,-2022,-0.019110266806543985,8539,0.08070354513406486,-2330,-0.02202122732900469
unicode_marks_only,30014,0.11683781911042253,1807,0.06020523755580729,1402,0.04671153461717865,-405,-0.013493702938628643,1288,0.04291330712334244,-519,-0.017291930432464853,1228,0.040914240021323385,-579,-0.019290997534483906
unicode_homoglyph,30014,0.11683781911042253,1807,0.06020523755580729,1402,0.04671153461717865,-405,-0.013493702938628643,1288,0.04291330712334244,-519,-0.017291930432464853,1228,0.040914240021323385,-579,-0.019290997534483906
hyphen_change,18186,0.0707940487220012,1862,0.10238645111624327,1728,0.09501814582645991,-134,-0.007368305289783356,1733,0.09529308259100407,-129,-0.007093368525239202,1716,0.09435829759155394,-146,-0.00802815352468933
digit_change,17083,0.06650031531496461,2608,0.1526663934906047,2459,0.14394427208335772,-149,-0.008722121407246985,2338,0.1368612070479424,-270,-0.015805186442662295,2377,0.13914417842299362,-231,-0.013522215067611087
transposition,1213,0.004721938914537966,100,0.08244023083264633,95,0.07831821929101401,-5,-0.004122011541632317,84,0.06924979389942292,-16,-0.013190436933223415,87,0.0717230008244023,-13,-0.010717230008244025
insertion,86261,0.3357948662052428,10605,0.12294084232735535,10165,0.11784004358864376,-440,-0.005100798738711582,9786,0.11344640103870811,-819,-0.009494441288647237,9751,0.11304065568449241,-854,-0.009900186642862935
deletion,68149,0.2652888830064698,8977,0.13172607081541915,8044,0.11803548107822565,-933,-0.013690589737193504,8039,0.11796211243011637,-938,-0.013763958385302782,8166,0.11982567609209233,-811,-0.011900394723326824
substitution,216256,0.8418364566383532,26488,0.12248446285883398,23994,0.11095183486238532,-2494,-0.011532627996448663,23524,0.10877848475880438,-2964,-0.013705978100029603,23377,0.10809873483279077,-3111,-0.01438572802604321
digit_substitution,3279,0.012764416900882104,540,0.16468435498627632,537,0.1637694419030192,-3,-0.0009149130832571128,535,0.1631594998475145,-5,-0.001524855138761827,553,0.16864897834705703,13,0.003964623360780711
