BASELINE AUC=0.945044 | thr=0.941874

================================================================================
MODEL deja | AUC=0.953301 | thr=0.965699
================================================================================

[1/4] POSITIVES — MADE BETTER
  cih vs wish | y=1 | base_m=-0.1499 | stu_m=-0.0531 | Δ=0.0968
  chinabvsp vs chinabus | y=1 | base_m=-0.1138 | stu_m=-0.0190 | Δ=0.0948
  oleb vs klex | y=1 | base_m=-0.1232 | stu_m=-0.0412 | Δ=0.0821
  atio vs tabio | y=1 | base_m=-0.1183 | stu_m=-0.0392 | Δ=0.0791
  dkreati vs direct | y=1 | base_m=-0.0937 | stu_m=-0.0199 | Δ=0.0738
  da-h vs yeah | y=1 | base_m=-0.1142 | stu_m=-0.0421 | Δ=0.0722
  iimo vs yum | y=1 | base_m=-0.0947 | stu_m=-0.0229 | Δ=0.0718
  ílmedu vs filmedu | y=1 | base_m=-0.0814 | stu_m=-0.0095 | Δ=0.0718
  funba vs fun | y=1 | base_m=-0.1066 | stu_m=-0.0358 | Δ=0.0708
  cařȑɱ vs care | y=1 | base_m=-0.0932 | stu_m=-0.0228 | Δ=0.0705
  maknl-in vs mainlink | y=1 | base_m=-0.0958 | stu_m=-0.0282 | Δ=0.0677
  urrs vs um | y=1 | base_m=-0.0856 | stu_m=-0.0180 | Δ=0.0676
  ilal vs final | y=1 | base_m=-0.0829 | stu_m=-0.0157 | Δ=0.0672
  mainlino vs mainlink | y=1 | base_m=-0.0832 | stu_m=-0.0162 | Δ=0.0670
  ital vs final | y=1 | base_m=-0.0896 | stu_m=-0.0232 | Δ=0.0664
  56jb vs 52z | y=1 | base_m=-0.0776 | stu_m=-0.0116 | Δ=0.0660
  socialanberp vs socialancer | y=1 | base_m=-0.0907 | stu_m=-0.0251 | Δ=0.0655
  funbſ vs fun | y=1 | base_m=-0.1005 | stu_m=-0.0358 | Δ=0.0647
  dbostrea- vs ecostream | y=1 | base_m=-0.1140 | stu_m=-0.0506 | Δ=0.0634
  i vs ovh | y=1 | base_m=-0.0927 | stu_m=-0.0294 | Δ=0.0633

[2/4] POSITIVES — MADE WORSE
  ibhuoj vs ibhejo | y=1 | base_m=0.0375 | stu_m=0.0060 | Δ=-0.0315
  ćnxskue vs cnxsku | y=1 | base_m=0.0381 | stu_m=0.0083 | Δ=-0.0298
  edeiecauer vs eddiebauer | y=1 | base_m=0.0034 | stu_m=-0.0263 | Δ=-0.0297
  zamyarx vs zaymer | y=1 | base_m=0.0196 | stu_m=-0.0094 | Δ=-0.0290
  stremtd-irecvory vs streetdirectory | y=1 | base_m=0.0209 | stu_m=-0.0075 | Δ=-0.0285
  serveth-ehomme vs servethehome | y=1 | base_m=0.0191 | stu_m=-0.0092 | Δ=-0.0283
  ssae vs satu | y=1 | base_m=0.0155 | stu_m=-0.0127 | Δ=-0.0282
  exteŋdedstayamericao vs extendedstayamerica | y=1 | base_m=0.0410 | stu_m=0.0130 | Δ=-0.0280
  yoeƀboy vs youboy | y=1 | base_m=0.0423 | stu_m=0.0147 | Δ=-0.0276
  ezzdaii vs ezday | y=1 | base_m=0.0287 | stu_m=0.0012 | Δ=-0.0276
  ewm vs ege | y=1 | base_m=-0.0018 | stu_m=-0.0291 | Δ=-0.0273
  kzzho vs kzho | y=1 | base_m=0.0376 | stu_m=0.0104 | Δ=-0.0273
  mmnè vs mnn | y=1 | base_m=0.0353 | stu_m=0.0083 | Δ=-0.0271
  sěkħo vs sekho | y=1 | base_m=0.0291 | stu_m=0.0022 | Δ=-0.0269
  jxyxt vs jzyx | y=1 | base_m=0.0295 | stu_m=0.0026 | Δ=-0.0269
  za-gio vs zamg | y=1 | base_m=0.0090 | stu_m=-0.0178 | Δ=-0.0268
  ćmoney vs cmoney | y=1 | base_m=0.0397 | stu_m=0.0130 | Δ=-0.0268
  hbcjinsez vs hbchinese | y=1 | base_m=0.0244 | stu_m=-0.0023 | Δ=-0.0268
  zjkcof vs zjks | y=1 | base_m=0.0353 | stu_m=0.0086 | Δ=-0.0266
  vṽabspoon vs webspoon | y=1 | base_m=0.0313 | stu_m=0.0048 | Δ=-0.0265

[3/4] NEGATIVES — MADE BETTER
  womai vs wizaz | y=0 | base_m=-0.0067 | stu_m=-0.0424 | Δ=-0.0357
  sdu vs sdge | y=0 | base_m=0.0073 | stu_m=-0.0234 | Δ=-0.0307
  smartbusiness vs fitsmallbusiness | y=0 | base_m=0.0131 | stu_m=-0.0172 | Δ=-0.0303
  fitsmallbusiness vs smartbusiness | y=0 | base_m=0.0131 | stu_m=-0.0172 | Δ=-0.0303
  kaisz vs kiis1065 | y=0 | base_m=0.0088 | stu_m=-0.0209 | Δ=-0.0297
  glock vs g-shock | y=0 | base_m=0.0207 | stu_m=-0.0082 | Δ=-0.0289
  skiptomylou vs symptomfind | y=0 | base_m=0.0168 | stu_m=-0.0120 | Δ=-0.0289
  symptomfind vs skiptomylou | y=0 | base_m=0.0168 | stu_m=-0.0120 | Δ=-0.0289
  tantannews vs targetsviews | y=0 | base_m=-0.0282 | stu_m=-0.0566 | Δ=-0.0284
  tamin vs temita | y=0 | base_m=0.0083 | stu_m=-0.0200 | Δ=-0.0284
  sonicch vs sonicraid | y=0 | base_m=-0.0020 | stu_m=-0.0304 | Δ=-0.0283
  game37 vs game333 | y=0 | base_m=0.0395 | stu_m=0.0116 | Δ=-0.0279
  game333 vs game37 | y=0 | base_m=0.0395 | stu_m=0.0116 | Δ=-0.0279
  crc vs c-c | y=0 | base_m=0.0171 | stu_m=-0.0107 | Δ=-0.0278
  jy135 vs jxf75 | y=0 | base_m=0.0011 | stu_m=-0.0264 | Δ=-0.0275
  jxf75 vs jy135 | y=0 | base_m=0.0011 | stu_m=-0.0264 | Δ=-0.0275
  grainger vs gravatar | y=0 | base_m=-0.0087 | stu_m=-0.0360 | Δ=-0.0274
  howlongtobeat vs hollandandbarrett | y=0 | base_m=0.0057 | stu_m=-0.0217 | Δ=-0.0274
  rateyourmusic vs katalogpromosi | y=0 | base_m=-0.0156 | stu_m=-0.0429 | Δ=-0.0273
  tingbook vs thinkpool | y=0 | base_m=0.0111 | stu_m=-0.0162 | Δ=-0.0273

[4/4] NEGATIVES — MADE WORSE
  lh vs 38 | y=0 | base_m=-0.2336 | stu_m=-0.0547 | Δ=0.1789
  yfsmagazine vs hellomagazine | y=0 | base_m=-0.2182 | stu_m=-0.0462 | Δ=0.1720
  macherie vs watchseriesus | y=0 | base_m=-0.2088 | stu_m=-0.0472 | Δ=0.1616
  zerotheme vs teslathemes | y=0 | base_m=-0.2066 | stu_m=-0.0470 | Δ=0.1596
  iastate vs westbyte | y=0 | base_m=-0.1922 | stu_m=-0.0417 | Δ=0.1505
  materialup vs watchseriesus | y=0 | base_m=-0.1837 | stu_m=-0.0346 | Δ=0.1491
