model,batch_size,num_samples,total_pairs,num_batches,latency_avg_ms,latency_min_ms,latency_max_ms,latency_std_ms,throughput_pairs_per_sec,cpu_avg_percent,gpu_memory_avg_gb,gpu_memory_max_gb
metrics,32,1990,3980,63,0.10575082833095202,0.0292840413749218,0.16790512017905712,0.013278154772832262,597391.0953859896,0.31178075396825394,0.0,0.0
siglip_text,32,1990,3980,63,9.665214334658923,5.15731587074697,13.07975291274488,0.8451754304181883,6536.285796380381,2.896267361111111,0.7649970054626465,0.7649970054626465
clip_text,32,1990,3980,63,9.631830729573728,6.09444291330874,12.140423990786076,0.6111305128456355,6558.940345642792,2.5784598214285714,0.5719766616821289,0.5719766616821289
coca_text,32,1990,3980,63,4.752169477768124,3.976886859163642,6.652348209172487,0.31593373837308125,13293.844731369594,1.5860987103174602,0.5785417556762695,0.5785417556762695
flava_text,32,1990,3980,63,7.781742410438638,5.789296003058553,11.967037105932832,0.6614534417489064,8118.310764162416,2.24656498015873,0.9081635475158691,0.9081635475158691
siglip_image,32,1990,3980,63,146.21988619633373,46.23813508078456,150.8497220929712,12.731306666879863,432.0520608925709,3.0612723214285715,0.7649970054626465,0.7649970054626465
clip_image,32,1990,3980,63,77.03376545881231,20.727257011458278,81.79473597556353,7.2087244634324525,820.0897723009629,3.4570560515873017,0.5744180679321289,0.5744180679321289
coca_image,32,1990,3980,63,204.66330264591508,39.23826990649104,209.8020340781659,21.03950375340196,308.6757731252906,2.9313368055555555,0.5785417556762695,0.5785417556762695
flava_image,32,1990,3980,63,153.25375358825403,30.369830084964633,159.12438207305968,15.65214470322698,412.2222242225402,3.243824404761905,0.9081635475158691,0.9081635475158691
vit,32,1990,3980,63,134.7622326907835,29.008911922574043,139.32338706217706,13.455304129534284,468.7856672689554,3.287375992063492,0.3297595977783203,0.3297595977783203
resnet,32,1990,3980,63,125.45678454879967,74.67726687900722,180.32765411771834,9.44545318853203,503.5566900730648,3.219915674603175,0.09671545028686523,0.09671545028686523
vitmae,32,1990,3980,63,72.14978071934884,16.657578060403466,75.2723349723965,7.062512484160269,875.6035367639207,3.352938988095238,0.3285360336303711,0.3285360336303711
pytesseract,32,1990,3980,63,73.67488679416951,13.856382109224796,76.10727194696665,7.6149223642907256,857.4781166762878,2.996440972222222,0.0079345703125,0.0079345703125
text,32,1990,3980,63,22.74209869256805,17.890495946630836,26.15911909379065,0.8792546657455519,2777.8704168251707,2.750520833333333,0.7656073570251465,0.7656073570251465
image,32,1990,3980,63,205.81494653153987,50.90078595094383,220.2085240278393,19.933499554443138,306.9485683097464,3.0369667658730157,0.7647528648376465,0.7647528648376465
small,32,1990,3980,63,205.31747693432465,50.84570590406656,214.0815199818462,19.765217215220858,307.69228278998855,2.9475694444444445,0.7656073570251465,0.7656073570251465
medium,32,1990,3980,63,205.39122331695305,53.7411761470139,214.74656695500016,19.371056305556667,307.58180488128346,3.0639880952380953,0.7647528648376465,0.7647528648376465
large,32,1990,3980,63,206.61625766476232,51.09260883182287,217.55870804190636,19.880456862407847,305.75814260030216,3.0673115079365076,0.7656073570251465,0.7656073570251465
total_1f,32,1990,3980,63,218.9882860467252,56.69285007752478,320.4754679463804,24.319489437165537,288.4839381825369,2.9843625992063494,1.521571159362793,1.521571159362793
total_3f,32,1990,3980,63,218.73317828165398,59.66379796154797,234.8000779747963,20.780979936483952,288.8203960226636,3.016083829365079,1.522669792175293,1.522669792175293
total_5f,32,1990,3980,63,219.5710955180287,57.73281003348529,269.4313891697675,22.006036554679053,287.71821275271634,3.089508928571429,1.521571159362793,1.521571159362793
total_5f_img,32,1990,3980,63,207.79351206747668,52.429022965952754,285.2253830060363,23.874418289450094,304.02586946068135,3.0523561507936505,0.7656073570251465,0.7656073570251465
