model,batch_size,num_samples,total_pairs,num_batches,latency_avg_ms,latency_min_ms,latency_max_ms,latency_std_ms,throughput_pairs_per_sec,cpu_avg_percent,gpu_memory_avg_gb,gpu_memory_max_gb,roc_auc
metrics,1,1990,3980,1990,0.0086608725417424,0.0054140109568834,0.0431800726801157,0.0016089599687584,230923.61541642508,0.1526385835427135,0.0,0.0,0.8908
pytesseract,1,1990,3980,1990,2.3839686538593554,2.197948051616549,2.8897819574922323,0.0759626590591267,838.9372053035358,0.8728894472361809,0.0079345703125,0.0079345703125,0.89554604
coca_text,1,1990,3980,1990,3.518095668218094,3.277628915384412,6.050050957128406,0.0807640797709717,568.4893728353313,1.200394550879397,0.5785417556762695,0.5785417556762695,0.690332
siglip_text,1,1990,3980,1990,4.26063560295719,3.8462060038000345,6.096183089539409,0.1285526184018574,469.41353036900296,1.2836137719849243,0.7649970054626465,0.7649970054626465,0.434861
flava_text,1,1990,3980,1990,5.028047604163425,4.555500112473965,7.810399169102311,0.1240065931987805,397.76870814507,1.5378007223618089,0.9081635475158693,0.9081635475158693,0.653462
clip_text,1,1990,3980,1990,5.146736951764842,4.894399084150791,7.614154135808349,0.165680500072357,388.595729438667,1.5485815797738691,0.5719766616821289,0.5719766616821289,0.611752
vitmae,1,1990,3980,1990,6.907224386752625,6.766681093722582,10.928174946457148,0.1422429935637544,289.5519079756266,6.047437185929648,0.3285360336303711,0.3285360336303711,0.5572
clip_image,1,1990,3980,1990,7.627539480240763,7.507998961955309,13.707785867154598,0.1845307277759921,262.20775456895706,6.410661510678392,0.5744180679321289,0.5744180679321289,0.919742
vit,1,1990,3980,1990,7.721459910615193,7.611043052747846,17.783492105081677,0.2579183164976246,259.01837517157475,6.4723975345477385,0.3297595977783203,0.3297595977783203,0.6981
siglip_image,1,1990,3980,1990,8.316835803190369,8.221228141337633,11.529186042025684,0.0935017741678444,240.47607134828763,6.501952339824121,0.7649970054626465,0.7649970054626465,0.923255
flava_image,1,1990,3980,1990,8.353134478798053,8.287203032523394,9.361749980598688,0.0336371110960191,239.43107884548076,6.47833346419598,0.9081635475158693,0.9081635475158693,0.770026
resnet,1,1990,3980,1990,8.4910921443572,8.348927134647965,12.554470915347338,0.129564412726519,235.54096057350063,6.551571529522612,0.0967154502868652,0.0967154502868652,0.7713
coca_image,1,1990,3980,1990,11.526316583704148,11.402301955968142,15.47406893223524,0.1478141342912393,173.5159697788963,6.293908998115576,0.5785417556762695,0.5785417556762695,0.827206
medium,1,1990,3980,1990,22.6636729000754,22.19170005992055,29.55691795796156,0.3830784121737717,88.24694959277082,4.655656014447236,0.7647528648376465,0.7647528648376465,0.9898
large,1,1990,3980,1990,22.774482735587124,22.24102988839149,38.365686079487205,0.7561185139083357,87.81758177430852,4.621651617462311,0.7656073570251465,0.7656073570251465,0.9904
small,1,1990,3980,1990,22.78900932422348,22.226711036637425,31.9944191724062,0.5743844328784775,87.76160347936269,4.597465452261306,0.7656073570251465,0.7656073570251465,0.9875
total_5f_img,1,1990,3980,1990,22.904477493215037,22.27696008048952,31.69692400842905,0.6530123994021124,87.31917157212854,4.595432239321608,0.7660956382751465,0.7660956382751465,0.9889
total_3f,1,1990,3980,1990,27.2551829353368,26.40943485312164,39.64925720356405,0.7575754155359109,73.3805384739123,4.29695233982412,1.522669792175293,1.522669792175293,0.9912
total_1f,1,1990,3980,1990,27.259016572380784,26.404133066535,38.739426992833614,0.7423565214219858,73.37021842623727,4.378754711055278,1.522059440612793,1.522059440612793,0.9892
total_5f,1,1990,3980,1990,27.26327318431407,26.44827007316053,32.064273953437805,0.5088765879187055,73.35876314186297,4.325410254396984,1.521571159362793,1.521571159362793,0.9916
