trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap,w_pos,w_neg
1,0.0005164528395931299,0.0005164528395931299,0.0003139152026178751,0.9935472032624002,5.6115164153345e-05,64,512,256,adam,3.549878832196506e-06,0.8108484485919075,0.10970372201012518,1.0,0.6452476589558902
2,5.3035690343173546e-05,5.3035690343173546e-05,3.5116521155559545e-05,0.9912562905183967,3.8234752246751835e-05,64,256,256,adamw,0.0007886714129990489,0.9116794696232922,0.06787661614294042,1.0,0.07501351274130823
3,0.00018281638908136024,0.00018281638908136024,0.00014040799578651786,0.9875641206378494,0.000233596350262616,1024,512,768,adamw,0.00048359527764659497,0.869579995762217,0.1851561046543922,1.0,0.07070895346946894
4,0.0007778221184990136,0.0007778221184990136,0.00047469785204157233,0.9943613177576331,2.4658447214487366e-05,1024,768,768,adam,1.0388823104027941e-06,0.9130922856909668,0.14430289533104726,1.0,4.367939003117412
5,0.0013555009297449797,0.0013555009297449797,0.0009853468654910102,0.9913359049258905,0.000348771262454593,512,256,768,adam,0.00013795402040204168,0.9021570097233794,0.11664266753820428,1.0,5.722578037877245
6,0.004514724600052257,0.004514724600052257,0.003288679312807834,0.9931848760245754,9.718319944817387e-05,64,1024,768,adam,7.400385759087375e-06,0.7822442574508008,0.18664255394508888,1.0,7.268881889564393
7,9.821734240170062e-05,9.821734240170062e-05,4.140771088714246e-05,0.9872129459517718,0.00018484491720988634,512,512,768,adam,3.4059785435329935e-05,0.8334822006297558,0.05220048398943875,1.0,0.08653447767940137
8,0.0008862180263566547,0.0008862180263566547,0.0006167385312854639,0.9900776705525758,4.7340227734041895e-05,64,256,128,adam,1.4270403521460853e-06,0.8057292928473223,0.18257051833366422,1.0,0.1870020185103285
9,0.00166726733042117,0.00166726733042117,0.0011020860383493378,0.9931525946150253,1.9489008462344228e-05,128,512,128,adam,3.627066608804412e-06,0.7581550283109528,0.12226965920576593,1.0,3.1365242603877554
10,0.0003267988097105679,0.0003267988097105679,0.00019160710799042134,0.9914082658182829,1.0793832090127281e-05,1024,512,256,adamw,0.0002829219225536188,0.8610401623198924,0.11063360988764123,1.0,0.18977979737299563
11,0.00012318343574279142,0.00012318343574279142,0.00011253107677475783,0.9923720902513279,0.000776735381623706,256,768,768,adamw,2.8592806891137605e-05,0.9439659597557619,0.024082833870385012,1.0,18.961365532232108
12,0.0012957745577517187,0.0012957745577517187,0.0008146006613969803,0.994294903440684,5.6340641851096245e-05,1024,768,256,adam,1.120935063841341e-06,0.8256563017683896,0.14842034231628773,1.0,0.914183724819158
13,0.0007561520091624075,0.0007561520091624075,0.0004731603403342888,0.9938327913599788,2.3553508320881508e-05,1024,768,256,adam,1.1826935783013323e-06,0.8902325190787519,0.15046960360180978,1.0,1.201698871022943
