fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
𝖡𝓪𝓏o๐𝜅α,Bazooka,1,0.9044805,0,false_negative
𝞐𝘚Ϻ 𝚕𝜛𝘁er𝜋𝚊t⍳on𝘢𝟭,ASM International,1,0.8733619,0,false_negative
Email Limited,EnergyAustralia,0,0.9164698,1,false_positive
𝐄sc𝞼n𝚍ͺ𝗱𝛂,Escondida,1,0.8924915,0,false_negative
Ｔ𝛼𝝞ⵏℽ﹘Η𝘰,Tally-Ho,1,0.89459187,0,false_negative
Tresemme,Zagori,0,0.93700755,1,false_positive
Kiss My Face,Crown Lager,0,0.9154294,1,false_positive
Ergon S.A.,Ben-Gay,0,0.9265688,1,false_positive
𝘟⁃𝖠𝑐𝓉𝑜,X-Acto,1,0.8854906,0,false_negative
𝙍e𝕖f,Reef,1,0.9050076,0,false_negative
𝘊𝚰ι𝒏ͺ𝕔,Clinic,1,0.9048901,0,false_negative
CCR,Clinic,0,0.9207759,1,false_positive
𝘚𝑒c𝛕г𝗮,Sectra,1,0.88138646,0,false_negative
ꓗrn𝝰𝙧𝝉,Kmart,1,0.907273,0,false_negative
Ꮥ𝕙ｅ𝕀l C𝕒пad𝖆,Shell Canada,1,0.880051,0,false_negative
Kelvinator,Hydroxycut,0,0.9110296,1,false_positive
𝑨meriс𝖺𝕟 E╳prℯss,American Express,1,0.87686664,0,false_negative
𝗥ı𝔠𝐞-𝐴-R𝞸𝜛Ꭵ,Rice-A-Roni,1,0.89156413,0,false_negative
Cinzano Vermouth,Ann Taylor,0,0.9256891,1,false_positive
Nu Skin,Breville,0,0.9249331,1,false_positive
𝙍T𝗟,RTL,1,0.89119625,0,false_negative
Trapiche Roble,Volvic,0,0.9312714,1,false_positive
Vizio,AmBev,0,0.9193851,1,false_positive
Hopewell Holdings,Blaupunkt,0,0.92688346,1,false_positive
Marmot,Bowflex,0,0.9247843,1,false_positive
Kiss My Face,Kriek,0,0.9227242,1,false_positive
𝓑Н𝑃 ᗷͺℐｌ𝛊𝙩o𝕟,BHP Billiton,1,0.88530993,0,false_negative
Durex,Clairol,0,0.9407632,1,false_positive
Qualcomm,Right Guard,0,0.91562676,1,false_positive
𝖲𝑒𝒶 𝖂ം𝐫𝞘𝙙,Sea World,1,0.89947087,0,false_negative
𝒮𝓲𝓮mens,Siemens,1,0.89871955,0,false_negative
ℰ𝙣ℂ𝚊𝙣α,EnCana,1,0.86171126,0,false_negative
𝖠c𝖚r𝖺,Acura,1,0.87743676,0,false_negative
𝓕𝚞𝖏𝙞τ𝑠𝘶,Fujitsu,1,0.8863466,0,false_negative
𝔗𝜠𝘓US,TELUS,1,0.88774335,0,false_negative
Entel PCS,DirectTV,0,0.91785926,1,false_positive
𝚳c𝒜𝚏𝗲ℯ,McAfee,1,0.8991058,0,false_negative
𝘚𝐏𝑨𝙈,SPAM,1,0.9047575,0,false_negative
𝔎ｏ𝑟ℯa𝐧 Air,Korean Air,1,0.877937,0,false_negative
CCR,Acindar SA,0,0.9319485,1,false_positive
Canadian Natural Resources,CÃ©line,0,0.9153216,1,false_positive
𝛢ꝸᎬ,A&E,1,0.8744401,0,false_negative
General Electric,Tooheys Extra Dry,0,0.91832834,1,false_positive
𝕻a𝘶ls,Pauls,1,0.9025475,0,false_negative
Nextel,Multiplex,0,0.9150499,1,false_positive
𝘙𝚎𝒄𝚊𝗿๐,Recaro,1,0.8750384,0,false_negative
𝖧౦𝕞ｅ,Home,1,0.8398864,0,false_negative
