trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,margin,optimizer,weight_decay
1,0.0005611975529688152,0.0005611975529688152,0.0005302593339261284,5.6115164153345e-05,64,512,768,0.06337992129227159,adam,2.3102018878452926e-05
2,0.15784685146443697,0.15784685146443697,0.15626374632120132,2.3270677083837777e-05,1024,1024,768,0.5603643749054588,sgd,1.2385137298860926e-05
3,0.05820329050172349,0.05820329050172349,0.05444322749972343,0.000164092867306479,512,768,768,0.12932485264910623,sgd,3.292759134423613e-05
4,0.058477672159063576,0.058477672159063576,0.057961798086762426,0.00021137059440645722,1024,512,768,0.6492182527650259,adamw,4.473636174621264e-05
5,0.08195565191223798,0.08195565191223798,0.08017484909748729,5.989003672254293e-05,128,1024,768,0.5519591000428273,sgd,0.0002592475660475158
6,0.029890769959560463,0.029890769959560463,0.028675575740635395,0.0002870875348195468,1024,256,768,0.2613691593173856,sgd,8.798929749689021e-05
7,0.0012730353461977626,0.0012730353461977626,0.001225158351007849,1.7345566642360933e-05,512,256,768,0.07042897069637727,adam,0.0006533305220227731
8,0.09623887912010598,0.09623887912010598,0.09545105742880061,3.151987295193886e-05,128,512,768,0.6164493836220165,sgd,0.00011986281799901183
9,0.023658752085084497,0.023658752085084497,0.023631830456530212,0.00041198396246051877,64,512,768,0.3213171520467063,sgd,0.0007688106801474952
10,0.0011621058433867839,0.0011621058433867839,0.0011124462937004865,4.4300218067679785e-05,512,512,768,0.07397651578044631,adam,3.608219327363783e-05
11,0.02281774614382862,0.02281774614382862,0.02248353684902381,0.000776735381623706,64,768,768,0.40945607014101654,adam,1.1952270129143866e-05
12,0.03486926094307314,0.03486926094307314,0.034066620841622354,1.0744583847151165e-05,256,1024,768,0.4684132788054852,adamw,1.0453436254523374e-05
13,0.006979444624894127,0.006979444624894127,0.006804390624165535,8.716653951713175e-05,1024,1024,768,0.20845631656570957,adam,2.0521938549507354e-05
14,0.03374978327338351,0.03374978327338351,0.03291798792304886,2.444327600992103e-05,64,1024,768,0.49819879072841733,adam,1.8545928490761282e-05
15,0.06596457707645643,0.06596457707645643,0.06353414226323366,8.54376462842966e-05,256,512,768,0.6974107456358329,adamw,7.340317459961652e-05
16,0.1651162007937626,0.1651162007937626,0.16391277462244033,1.0167523697344114e-05,1024,1024,768,0.3552565074875643,sgd,1.9497907187295953e-05
17,0.004804189606216365,0.004804189606216365,0.004493168165171697,4.5901373769776726e-05,64,768,768,0.1867791282901384,adam,0.00020065771485986705
18,0.07852128908342244,0.07852128908342244,0.07852648347616195,2.312777626044203e-05,1024,256,768,0.5635288708159065,sgd,1.0129784438925552e-05
19,0.023832354523594265,0.023832354523594265,0.026833534430546365,0.00012806480427099445,64,1024,768,0.4253206275690882,adam,5.9106346065127834e-05
20,0.01146033464375969,0.01146033464375969,0.011252473226359373,1.5486219320045795e-05,128,512,768,0.2748756477631814,adamw,2.662322888315536e-05
21,0.08644544115990324,0.08644544115990324,0.08377429135143757,6.509512873021057e-05,256,1024,768,0.5015807962298472,sgd,1.628734815047801e-05
22,0.06346211040734637,0.06346211040734637,0.05965383518487215,0.00013914851421129086,512,768,768,0.12814500621476818,sgd,3.595266558498198e-05
23,0.05432983847068889,0.05432983847068889,0.050397800467908385,0.00018807904370200687,512,768,768,0.14177730288004908,sgd,2.9535439065949198e-05
24,0.09777537786534854,0.09777537786534854,0.09523781016469002,3.9653876770552795e-05,512,768,768,0.052547243666055565,sgd,4.786945433399156e-05
25,0.04119540720569844,0.04119540720569844,0.03776916302740574,0.000520986445993818,1024,768,768,0.1401026965127711,sgd,1.5273417251862606e-05
26,0.0052348707175376465,0.0052348707175376465,0.005107238958589733,0.00011805019043204638,512,768,768,0.1900006053928412,adam,2.40642317309275e-05
27,0.024375539171728123,0.024375539171728123,0.02322908825460513,6.70642105562323e-05,64,512,768,0.2685600283391988,sgd,0.00015634692717182065
28,0.023667220330359985,0.023667220330359985,0.021941801998764277,0.00020580121367136362,512,256,768,0.0919634654622078,sgd,1.3232142164135605e-05
29,0.0018704838487537136,0.0018704838487537136,0.001779043607289197,3.0299153737279223e-05,64,512,768,0.11606853292567537,adam,3.154043075707901e-05
30,0.04849823302000153,0.04849823302000153,0.0484401635825634,0.0003427858419198938,1024,1024,768,0.5954661365462911,adamw,5.5757376273516565e-05
31,0.014688308806899858,0.014688308806899858,0.014214195031672715,0.0001607048176841357,1024,768,768,0.3194846417867093,adamw,0.0003178165448957641
32,0.0678289896067308,0.0678289896067308,0.07286045849323272,0.0002770529080927203,1024,512,768,0.6971171554670587,adamw,4.722232803800974e-05
33,0.05581688646065152,0.05581688646065152,0.052931996793309344,0.00024185925484711732,128,512,768,0.6559823973559918,adamw,8.033749990677314e-05
34,0.0433364924499575,0.0433364924499575,0.04227007813751697,0.00010301855171431704,1024,512,768,0.5479660889125918,adamw,4.496065248247222e-05
35,0.09514362053299437,0.09514362053299437,0.09514870494604111,5.6594095208465244e-05,1024,256,768,0.6342251360604082,sgd,0.00011678680885818097
36,0.09800653995188606,0.09800653995188606,0.09788937253665321,0.0005335553874057285,128,512,768,0.6564649308053165,sgd,2.344897643629924e-05
37,0.058969405460722595,0.058969405460722595,0.05802989900112152,1.6288150066210103e-05,1024,512,768,0.5777618426444171,adamw,3.729522504584411e-05
38,0.008554929358960718,0.008554929358960718,0.008375154784880578,3.381476516255971e-05,512,1024,768,0.2321371205902376,adam,1.4904162040698036e-05
39,0.050742813455098124,0.050742813455098124,0.049479734152555466,0.00017299341631815684,256,512,768,0.4317673267661578,sgd,0.0004241082211470006
40,0.034081508067656384,0.034081508067656384,0.031757176349497145,0.000364076483608844,64,256,768,0.5057524932459602,adam,6.581490841347582e-05
41,0.15106461318779965,0.15106461318779965,0.14938820749521256,2.3171394717953505e-05,1024,1024,768,0.09793640406963011,sgd,9.271733913243946e-05
42,0.07215901687169624,0.07215901687169624,0.0711934222262117,8.346727260534412e-05,128,1024,768,0.5353400455988151,sgd,0.0004648127980109958
43,0.0995709845972488,0.0995709845972488,0.09816896962591365,5.273336262579352e-05,128,1024,768,0.6205024156681734,sgd,0.0002181576072915942
