trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,m_neg,m_gap,optimizer,weight_decay
1,1.4151532077209659,1.4151532077209659,1.4116942039720572,5.6115164153345e-05,64,512,256,0.7467146043492208,0.04454674376934912,sgd,7.309539835912905e-05
2,1.2801713765010725,1.2801713765010725,1.2275051759306792,3.8234752246751835e-05,64,256,256,0.7143113504567614,0.19028825207813332,adam,1.5679933916722995e-05
3,1.4477473910973997,1.4477473910973997,1.4451449394226075,0.000233596350262616,1024,512,768,0.8705292211394452,0.18850479889719593,sgd,1.5030900645056805e-05
4,1.2514987989347808,1.2514987989347808,1.1877099633216859,2.4658447214487366e-05,1024,768,768,0.8698938492452647,0.04775597949149276,adamw,0.0002870875348195468
5,1.1980541506592108,1.1980541506592108,1.161726826429367,0.000348771262454593,512,256,768,0.8038872835356289,0.03272290672827732,adamw,0.0003482846706526881
6,1.4022665266340846,1.4022665266340846,1.397002442627196,9.718319944817387e-05,64,1024,768,0.750335596408157,0.024626182867470668,sgd,0.00041327654594663655
7,1.1989653621401106,1.1989653621401106,1.161421263217926,0.00018484491720988634,512,512,768,0.8893607283163956,0.011320904800926235,adam,1.736723715159314e-05
8,1.4403840912051942,1.4403840912051942,1.439024525083554,4.7340227734041895e-05,64,256,128,0.8341041534755773,0.10550901441348368,sgd,3.0138649046798015e-05
9,1.4189678365007385,1.4189678365007385,1.4164791333524487,1.9489008462344228e-05,128,512,128,0.8837665490296324,0.07094821234462981,sgd,0.00022653156413948846
10,1.299061342161529,1.299061342161529,1.2271982073783874,1.0793832090127281e-05,1024,512,256,0.7567471580973342,0.13539696874649404,adam,3.0458224385894053e-05
11,1.284878532599915,1.284878532599915,1.213504931330681,0.000776735381623706,256,1024,256,0.7039249955266493,0.08225566244784402,sgd,9.427382560668222e-05
12,1.2662881452611678,1.2662881452611678,1.2250453552622704,7.253101155241605e-05,64,256,256,0.7060684945397431,0.17920260567511948,adam,7.245642838023481e-05
13,1.2477963431401657,1.2477963431401657,1.208725676415073,4.616561222303107e-05,64,768,256,0.7519290306412758,0.144938338953357,adam,5.090873160060654e-05
14,1.2622591305907842,1.2622591305907842,1.2113786252440921,3.5560743660547806e-05,64,256,256,0.7923476919155534,0.1343768481768275,adam,1.0187635895685474e-05
15,1.258535021558747,1.258535021558747,1.192992721931844,1.1248613366724764e-05,128,512,256,0.7316692000611195,0.10335724022052277,adamw,0.000981824756903747
16,1.4702123998071226,1.4702123998071226,1.4689347267150878,0.00013088003137324127,256,256,256,0.7820296020352379,0.1602115789661699,sgd,3.7654648590342216e-05
17,1.2056945148219074,1.2056945148219074,1.1796325384431583,7.386508325927118e-05,64,1024,128,0.8340371903663129,0.06343276044233577,adam,0.000188887005879354
18,1.4440080055577285,1.4440080055577285,1.4392100587771957,2.7270351292603972e-05,64,768,256,0.7273022718482175,0.10924665596854008,sgd,0.0001385847923883385
19,1.2864531800293877,1.2864531800293877,1.2265292026434735,1.7162945621261104e-05,64,256,256,0.7720479292814206,0.164658804059788,adam,6.327754983612125e-05
20,1.1952136918102079,1.1952136918102079,1.155463556700115,7.123498417990455e-05,128,512,256,0.7259828953672169,0.042387642921101476,adamw,2.0612781170206732e-05
21,1.4223994363327415,1.4223994363327415,1.4194764018058776,0.0005560094986576656,512,512,128,0.9180809831515919,0.196066385622514,sgd,0.0006636044762855568
22,1.476086853718271,1.476086853718271,1.4734663009643554,0.0002630197869185312,1024,512,768,0.8175737149903631,0.1933700677016332,sgd,1.6079706158073564e-05
23,1.455856207682162,1.455856207682162,1.453238320350647,0.0002073160407652295,1024,512,768,0.8552596488370067,0.1766345795809385,sgd,1.002325164414201e-05
24,1.4262947598282172,1.4262947598282172,1.4237870216369628,0.0001455910609411196,1024,512,768,0.9116910581238545,0.1553552924008738,sgd,2.1644811219075063e-05
25,1.4540422987145232,1.4540422987145232,1.4511771142482757,0.0003731252865233215,256,512,256,0.7155414851552527,0.1201258123546344,sgd,4.089929580288999e-05
26,1.2884521131612816,1.2884521131612816,1.2279524564743043,0.00010745476406241598,1024,256,768,0.7410359571229046,0.18269511942627947,adam,1.4119771677246693e-05
27,1.4297121188157045,1.4297121188157045,1.4258928116719434,5.139407545095126e-05,64,768,256,0.7757305265133154,0.08408587128089039,sgd,0.00011482569330535044
28,1.4556807378737193,1.4556807378737193,1.4508429431611565,3.257633673544915e-05,64,1024,768,0.8480236281662047,0.17046034745303154,sgd,2.7561248005852673e-05
29,1.2939204768258699,1.2939204768258699,1.2384854078292846,9.057926329192444e-05,1024,512,256,0.7600680948466221,0.1982857561194959,adam,1.2920291614459912e-05
30,1.2915213290525942,1.2915213290525942,1.2292596340179442,2.068257671872274e-05,1024,768,128,0.8713872231023533,0.14832482363765517,adamw,2.3315679422674618e-05
31,1.208862071134606,1.208862071134606,1.1754184901714324,0.0004637990094203299,512,256,768,0.8112221838815254,0.06362261602292008,adamw,4.6875503706359996e-05
32,1.2496197892695058,1.2496197892695058,1.1890790700912475,3.2328148058826815e-05,1024,768,768,0.9009406707108952,0.045653164992737354,adamw,0.0003258711736697869
33,1.250630334931977,1.250630334931977,1.184880554676056,1.5421164133698556e-05,1024,768,768,0.8713848172840108,0.031065093988914893,adamw,0.0003047242774272596
34,1.2322060928052785,1.2322060928052785,1.1775240778923035,6.325214692138331e-05,1024,768,768,0.8499258225267495,0.048352432581453386,adamw,0.0004966160280623606
35,1.227026465595985,1.227026465595985,1.1619179129600525,2.437782473211141e-05,512,256,768,0.8272555116288121,0.010741404771038604,adamw,0.00024964059910484324
36,1.394967976931342,1.394967976931342,1.3922241136526605,4.564705095762939e-05,64,512,768,0.8742288935056985,0.021186636874022974,sgd,0.00015311869106204802
37,1.1861327229558354,1.1861327229558354,1.1942386400850513,0.00022457485162797152,128,1024,768,0.8022581821485922,0.09061263801830324,adamw,8.690567858285234e-05
38,1.2123249171639952,1.2123249171639952,1.1780960112810135,0.00014932233377733419,256,512,128,0.8990649723445638,0.03587220503853765,adam,0.0004528633455752636
39,1.4224188632104768,1.4224188632104768,1.4181187114897806,4.058541477789458e-05,64,768,256,0.715130375248825,0.056825402943659606,sgd,3.099158258966439e-05
40,1.3993686632234223,1.3993691485755297,1.3980953812599182,1.4265489994810162e-05,1024,256,768,0.8552903122527837,0.022263035584043335,sgd,5.682887964835691e-05
41,1.2816453484945853,1.2816453484945853,1.2314538644377593,2.46621544697331e-05,64,512,256,0.7431184797510801,0.1853225200328103,adam,1.8066284708596216e-05
42,1.2162958000387465,1.2162958000387465,1.1752613663673401,0.0003160062752874044,512,256,768,0.7608909624463975,0.07807949535773559,adamw,0.0002088951240791293
43,1.1680788397789001,1.1680788397789001,1.1545078933238984,0.000930826888126965,512,256,768,0.7007562766534272,0.03442869331622865,adamw,0.00059258658423689
44,1.194612913593954,1.194612913593954,1.1699900925159454,0.0006518026905463989,512,256,768,0.7978023146946113,0.05253367866333382,adamw,0.0003529574867556181
45,1.2410911370296867,1.2410911370296867,1.1844294786453247,5.4820199767512266e-05,512,256,256,0.821909336775177,0.06986218094920438,adamw,0.000819053247063088
46,1.1826358345633352,1.1826358345633352,1.169410448924751,0.0003784197554360659,64,1024,768,0.8412318821491138,0.018390852849161525,adam,0.00024456174268469864
47,1.4538489688387917,1.4538489688387917,1.452299185946018,9.120154591054548e-05,128,256,256,0.7834208577330819,0.12752849360385932,sgd,0.00017375970662758766
48,1.2359993841946888,1.2359993841946888,1.2077806800603867,0.00011297367260487841,256,768,128,0.8812550790774984,0.09479487778935128,adam,0.00011013262497881513
49,1.1846118147222187,1.1846118147222187,1.1748351747063315,0.00016977700968789832,64,512,256,0.8639983680740034,0.03987037689239724,adamw,8.250518057579472e-05
50,1.4297918275910981,1.4297918275910981,1.428141748905182,3.962535748297499e-05,1024,256,768,0.7139906574668968,0.06099204040682184,sgd,1.2584481123216388e-05
