trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,q_pos,q_neg,optimizer,weight_decay
1,0.07216444061216985,0.07216444061216985,0.05995437139823179,5.6115164153345e-05,64,512,256,0.8,0.35,sgd,0.00037183641805732076
2,0.07163694550340273,0.07163694550340273,0.062308427132666114,2.5081156860452307e-05,512,768,768,0.8,0.3,sgd,0.0003550304858128307
3,0.008657090432579865,0.008657090432579865,0.005195863189874217,0.0007568292060167617,256,768,128,0.8,0.4,sgd,1.4063366777718176e-05
4,0.003578648910365875,0.003578648910365875,0.0029670094136926757,5.211124595788268e-05,128,768,128,0.75,0.25,adamw,0.0001040258761588385
5,0.0032755221845224844,0.0032755221845224844,0.003115713695297018,0.0006533305220227731,256,768,256,0.8,0.4,adamw,0.00010507384024181397
6,0.06548377768877818,0.06548377768877818,0.05450406447052956,6.83631406502272e-05,512,1024,128,0.75,0.35,sgd,3.048670883458067e-05
7,0.005366381924460575,0.005366381924460575,0.0043488889332018365,0.00022093834415066264,64,1024,128,0.65,0.35,adam,1.6863473810115062e-05
8,0.007961294398227766,0.007961294398227766,0.004682803972161547,0.0007069476197217987,64,1024,128,0.7,0.4,adam,0.00021232617602360456
9,0.0073106450855236526,0.0073106450855236526,0.004666125122457743,1.0235832435175107e-05,256,1024,256,0.6,0.25,adam,9.66129598966224e-05
10,0.005992149405499595,0.005992149405499595,0.004183325685181056,2.4574572727813138e-05,64,512,256,0.6,0.25,adam,1.5644186602631917e-05
11,0.08559687390011184,0.08559687390011184,0.07703633159399033,0.0001281716214662065,1024,512,768,0.65,0.35,sgd,0.0008773222915788808
12,0.09645631970191489,0.09645796247891017,0.08947311975061893,2.9820913313778412e-05,512,256,768,0.8,0.3,sgd,0.0006792224620402288
13,0.07934549842409942,0.07934549842409942,0.0709751520305872,1.4188063737126661e-05,512,512,768,0.8,0.3,sgd,0.00032715491421874294
14,0.09703676258118785,0.09703676258118785,0.09025169983506202,3.5560743660547806e-05,1024,256,768,0.8,0.3,sgd,0.0003385237827879525
15,0.06128629781019962,0.06128629781019962,0.04771605242468134,0.00014223864968676886,128,512,256,0.7,0.3,sgd,0.0004487809174213035
16,0.0042720232924573975,0.0042720232924573975,0.0025239049087747174,1.9279942276229844e-05,64,768,768,0.8,0.35,adamw,0.00017514826598083363
17,0.06960031063276895,0.06960031063276895,0.05883918199688196,0.0002693168084313325,512,512,256,0.8,0.3,sgd,5.442787259660796e-05
18,0.048934852644820205,0.048934852644820205,0.033327469898826755,5.712195884877372e-05,64,768,256,0.8,0.35,sgd,0.0002174061268295262
19,0.09600199291444554,0.09600199291444554,0.08920892551541329,7.48153438276081e-05,512,256,768,0.65,0.3,sgd,0.0005118078717117629
20,0.006882571642670561,0.006882571642670561,0.005032502359392334,3.8660775967287935e-05,128,512,256,0.6,0.35,adamw,0.0008131749062880231
21,0.07540061940648118,0.07540061940648118,0.06607953011989594,1.6361904103388473e-05,1024,768,768,0.7,0.35,sgd,0.00014602992300816653
22,0.009219912327397281,0.009219912327397281,0.00556036684429273,0.00038974769159685175,256,768,128,0.8,0.4,sgd,4.339954655802462e-05
23,0.05326844570810533,0.05326844570810533,0.03665249897167087,0.00010714912668674753,256,768,128,0.8,0.4,sgd,1.114214880007553e-05
24,0.008671590427170172,0.008671590427170172,0.005194948246935382,0.0009203291726930044,256,768,128,0.8,0.4,sgd,0.00033254520926350714
25,0.07740188739737686,0.07740188739737686,0.06732592005282641,4.5029532145203505e-05,512,768,256,0.8,0.4,sgd,6.415856984328179e-05
26,0.0639211808228889,0.0639211808228889,0.049408492259681226,8.470238151240109e-05,256,768,128,0.75,0.4,sgd,3.076436626266158e-05
27,0.06015415283150003,0.06015415283150003,0.047128733911901526,0.0001883692973192265,64,512,768,0.8,0.3,sgd,0.0005253100762314406
28,0.007042391402366847,0.007042391402366847,0.0041520961161382545,0.0004458310265869325,64,256,128,0.8,0.25,sgd,0.0002623702653366469
29,0.00557586409113541,0.00557586409113541,0.003122001315932721,2.2689240810738828e-05,512,768,256,0.8,0.4,adam,0.00014554480561132204
30,0.0037438833814821756,0.0037438833814821756,0.002654445313412366,5.194226358974328e-05,128,768,768,0.75,0.25,adamw,0.00011459056231879806
31,0.006786570929543442,0.006786570929543442,0.003998315654462204,1.017082262693058e-05,256,512,128,0.7,0.3,adamw,7.608881610250565e-05
32,0.0038741031498469585,0.0038741031498469585,0.0028770273754703283,3.253483121543735e-05,128,768,128,0.75,0.25,adamw,3.228057126209589e-05
33,0.0035748419746675568,0.0035748419746675568,0.0032843016029064412,5.099641442995115e-05,128,768,128,0.75,0.25,adamw,1.742717091069282e-05
34,0.0033907055495428326,0.0033907055495428326,0.0030920513333823484,7.098597705709533e-05,128,768,128,0.75,0.25,adamw,8.75641580382458e-05
35,0.0036712812127002404,0.0036712812127002404,0.003906626277897931,9.38607869964682e-05,128,1024,128,0.75,0.35,adamw,0.00012360998765492673
36,0.00665937031707381,0.00665937031707381,0.004252969281515107,2.4728123709532054e-05,256,768,128,0.65,0.35,adam,0.00025155283549991534
37,0.004770555776875807,0.004770555776875807,0.004533636821938121,0.0005167620294412808,64,1024,256,0.6,0.25,adamw,4.04826775993309e-05
