trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,q_pos,q_neg,margin_pair_idx,optimizer,weight_decay
1,0.004173028640111197,0.004173028640111197,0.003116311478742938,5.6115164153345e-05,64,512,256,0.8,0.35,2,adamw,0.00037183641805732076
2,0.005381712136429032,0.005381712136429032,0.003352139156777412,2.5081156860452307e-05,512,768,768,0.8,0.3,4,adamw,0.0003550304858128307
3,0.004251715938543991,0.004251715938543991,0.003989646077388898,0.0007568292060167617,256,768,128,0.8,0.4,6,adamw,1.4063366777718176e-05
4,0.004673568557773996,0.004673568557773996,0.004135270523426088,5.211124595788268e-05,128,768,128,0.75,0.25,0,adam,0.0001040258761588385
5,0.00702762725832098,0.00702762725832098,0.004484378005145118,0.0006533305220227731,256,768,256,0.8,0.4,7,adam,0.00010507384024181397
6,0.005471422108916604,0.005471422108916604,0.004596246627625078,6.83631406502272e-05,512,1024,128,0.75,0.35,1,adamw,3.048670883458067e-05
7,0.004397559029965406,0.004397559029965406,0.004369793147602041,0.00022093834415066264,64,1024,128,0.65,0.35,8,adamw,1.6863473810115062e-05
8,0.005386074942891782,0.005386074942891782,0.005048176337472478,0.0007069476197217987,64,1024,128,0.7,0.4,5,adamw,0.00021232617602360456
9,0.0076152821752669105,0.0076152821752669105,0.004837008973117918,1.0235832435175107e-05,256,1024,256,0.6,0.25,7,adamw,9.66129598966224e-05
10,0.005945963038147087,0.005945963038147087,0.003825787895293847,2.4574572727813138e-05,64,512,256,0.6,0.25,8,adam,1.5644186602631917e-05
11,0.006114546646725158,0.006114546646725158,0.004402087675407529,0.0001281716214662065,1024,512,768,0.65,0.35,3,adam,0.0008459898552267794
12,0.0071764060448170925,0.0071764060448170925,0.004270280816126615,2.9040476918499735e-05,512,256,768,0.8,0.3,3,adamw,0.000722476889676085
13,0.006659047711374504,0.006659047711374504,0.004022059799171984,1.3285821858040096e-05,512,512,768,0.8,0.3,2,adamw,0.00034983170563822173
14,0.006668368539753921,0.006668368539753921,0.003939256584271788,3.0282396575345123e-05,1024,256,768,0.8,0.3,4,adamw,0.00036546939156738116
15,0.0037513280513963147,0.0037513280513963147,0.002927933947796214,0.0001446404856131268,128,512,256,0.7,0.3,4,adamw,0.0002569532796402451
16,0.004005455506339273,0.004005455506339273,0.003049710462207959,5.510333729213962e-05,64,768,768,0.8,0.35,2,adamw,0.0005738938080216079
17,0.004482751816739233,0.004482751816739233,0.003337508626282215,0.0002633707588246997,512,512,256,0.8,0.3,0,adamw,0.00017389929268689635
18,0.006496878695523489,0.006496878695523489,0.004811335367648892,1.9893390425927642e-05,64,768,768,0.8,0.35,5,adamw,4.121336131277855e-05
19,0.005140629781134502,0.005140629781134502,0.0033300305716693402,8.03189470380575e-05,512,256,256,0.6,0.3,2,adam,0.0004597261404094927
20,0.005432379629720202,0.005432379629720202,0.0037116699121137963,4.6237424453876816e-05,128,512,768,0.65,0.35,3,adamw,5.273814039728423e-05
