trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,tau,optimizer,weight_decay
1,0.09996096476297575,0.09996096476297575,0.12102349739296327,5.6115164153345e-05,64,512,256,0.014863737747479332,sgd,0.00011207606211860574
2,0.4897821457947002,0.4897821457947002,0.3428601096325283,7.309539835912905e-05,128,512,512,0.011936688658110407,sgd,0.0004138040112561013
3,0.018751840378421238,0.018751840378421238,0.10937087247643658,4.066563313514796e-05,128,512,512,0.012939811886786895,adam,0.0006161049539380963
4,0.014943742433262564,0.014943742433262564,0.04875933693997728,0.0001569639638866114,64,768,256,0.05615378865278278,adamw,2.497073714505272e-05
5,1.6340314131551879,1.6340314131551879,1.4118260021801967,1.0257563974185649e-05,64,768,128,0.022762832541872294,sgd,8.798929749689021e-05
6,0.1178761537433887,0.1178761537433887,0.32486108839511874,1.7345566642360933e-05,512,256,256,0.035599948381529196,adam,0.0003244160088734161
7,0.12870763227039453,0.12870763227039453,0.28503929525613786,2.8681134821030064e-05,512,512,128,0.06272639099464453,adam,7.148510793512978e-05
8,0.025640981103533727,0.025640981103533727,0.05623887511931217,0.0004325432427964555,64,768,256,0.06802474579046726,adam,3.997206819121805e-05
9,0.032742992379789566,0.032742992379789566,0.08868093196526641,3.712624179040528e-05,128,256,128,0.053313373073010234,adamw,0.00018391267498288997
10,0.1828618004270222,0.1828618004270222,0.2899774853372946,0.00018495216589727275,256,768,512,0.012205650030349402,sgd,1.883830778761975e-05
11,0.3564441829007499,0.3564441829007499,0.8048379778861999,0.000776735381623706,1024,1024,256,0.0012488622130248112,sgd,1.0744583847151165e-05
12,2.5614789035314183,2.5614789035314183,2.1674813062329834,6.929790259989524e-05,128,512,512,0.030796444316979775,sgd,0.0008603712922135038
13,0.4720967389187034,0.4720967389187034,1.088773685693741,8.819176073569919e-05,1024,512,512,0.0006529646355658662,sgd,0.00022465392476467104
14,0.7071342092493306,0.7071342092493306,0.4306491965427995,0.00018526081758759246,256,512,512,0.01663491058467884,sgd,0.0003933480575431433
