trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,margin,w_pos,w_neg
1,0.00018545079221635993,0.00018545079221635993,0.00024164162304857786,0.9869280113240222,5.6115164153345e-05,64,512,256,adam,3.549878832196506e-06,0.8365090691551446,1.2871346474483567,2.9251420662620613
2,5.8418968793481434e-05,5.8418968793481434e-05,5.6458676048025626e-05,0.9871008976584346,3.8234752246751835e-05,64,256,256,adamw,0.0007886714129990489,0.8970076817739754,0.9569206537600561,1.274693918148758
3,8.907732117965067e-05,8.907732117965067e-05,0.00010629907046677545,0.988656591497887,0.000233596350262616,1024,512,768,adamw,0.00048359527764659497,0.8717479974573302,1.8828113525346752,1.245946655446098
4,0.00039959533825488193,0.00039959533825488193,0.00015759876987431198,0.9844017840946139,2.4658447214487366e-05,1024,768,768,adam,1.0388823104027941e-06,0.8978553714145802,1.5602860157714256,6.119710304930359
5,0.00042821157672288067,0.0004575915749859521,0.00041513713949825615,0.9831643954088432,0.000348771262454593,512,256,768,adam,0.00013795402040204168,0.8912942058340277,1.3419157963542443,6.7922446741738645
6,0.00031870457718807804,0.00031870457718807804,0.000539384362952521,0.9844912005495419,9.718319944817387e-05,64,1024,768,adam,7.400385759087375e-06,0.8193465544704805,1.8945464785138597,7.449178106338813
7,0.00017870012216379257,0.00018605036927269515,0.00018041614239336923,0.9855095025839938,0.00018484491720988634,512,512,768,adam,3.4059785435329935e-05,0.8500893203778536,0.8331617157060953,1.3469654511572648
8,0.00022993389680096808,0.00022993389680096808,0.00022195311672750678,0.9860429735700208,4.7340227734041895e-05,64,256,128,adam,1.4270403521460853e-06,0.8334375757083934,1.8623988289499804,1.8135548690221044
9,0.0008163543178203731,0.0008163543178203731,0.0004602004930486054,0.9845159888383868,1.9489008462344228e-05,128,512,128,adam,3.627066608804412e-06,0.8048930169865717,1.3863394147823627,5.3853601489576075
10,0.0004048916839101181,0.0004048916839101181,0.00014812106164754368,0.977140100620413,1.0793832090127281e-05,1024,512,256,adamw,0.0002829219225536188,0.8666240973919355,1.2944758675340098,1.8239060194949146
11,7.682040108928218e-05,7.682040108928218e-05,8.221212083299178e-05,0.9847464894293849,0.0008524968088475164,256,1024,768,adamw,5.316480195825897e-05,0.8728929874106544,0.6111802673977764,3.418305340809152
12,3.7236376612076574e-05,3.7236376612076574e-05,2.7795454570878064e-05,0.9876475251703509,0.0002997858219123052,1024,256,256,adamw,0.0009759833808140933,0.9127557367896412,0.9671351133911116,1.013896635927709
13,1.2109271201366862e-05,1.2109271201366862e-05,3.490415492706234e-05,0.9879861314533849,0.00036236340994785126,1024,768,256,adamw,0.0007471438100763052,0.9184351217351128,0.9054351030910087,1.0077729045112012
14,2.9704423969651916e-05,2.9704423969651916e-05,7.75567790697096e-05,0.9878345482353962,0.0008743462503691249,1024,768,256,adamw,0.0002781961766389436,0.9190882557124813,1.6969923036185257,2.168946261716524
15,3.2125139949464345e-05,3.2125139949464345e-05,9.173879407171625e-05,0.9874752051764569,0.0004338219321751838,1024,768,128,adamw,0.00011573596612350337,0.8855103597228401,1.0774518546835796,1.1186463638741033
