trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap
1,0.000520962112912449,0.000520962112912449,0.00045644031236227007,0.9901094509685904,5.6115164153345e-05,64,512,256,adam,3.549878832196506e-06,0.8104242242959538,0.09247564316322379
2,0.001175305625745941,0.001175305625745941,0.0008879575710389999,0.9795811807311089,7.309539835912905e-05,128,512,768,adam,0.0007025166339242157,0.876563203307456,0.12083973481164612
3,0.000999487079385206,0.000999487079385206,0.000690463034044126,0.9909150485737193,4.066563313514796e-05,128,512,768,adamw,0.00021154290797261214,0.8739498941564189,0.1294827350427649
4,0.0007377065055535809,0.0007377065055535809,0.0003874812475932098,0.970077877920335,0.0001569639638866114,64,768,256,adam,0.0009133995846860973,0.8572244769296657,0.059871568153417244
5,0.0005551773882768208,0.0005551773882768208,0.00035952593135583704,0.9899540340609386,1.0257563974185649e-05,64,768,128,adamw,8.178476574339548e-05,0.8687212742576327,0.08722149251619493
6,0.001353981228169928,0.001353981228169928,0.0007325776445213705,0.9857305932094553,1.7345566642360933e-05,512,256,256,adamw,5.595986878006084e-06,0.821038292303563,0.11555511385430486
7,0.0007644100485925505,0.0007644100485925505,0.0003871116627124138,0.9875129539502426,2.8681134821030064e-05,512,512,128,adam,2.138729075414893e-06,0.8027935162541942,0.08271077886262564
8,0.0005488321331422523,0.0005488321331422523,0.00034924706915262504,0.9846452887352082,0.0004325432427964555,64,768,256,adam,5.6930747676446135e-06,0.8297248505892385,0.07008783098167697
9,0.000834352399460445,0.000834352399460445,0.0007501058833072363,0.9893484417881235,3.712624179040528e-05,128,256,128,adam,0.00015298506868937454,0.8167783132719253,0.10323058305935795
10,0.00012600429327552602,0.00012600429327552602,0.0001293561331294768,0.9905224221181589,0.00018495216589727275,256,768,768,adamw,1.4461256820152148e-05,0.8736729988736734,0.05375209441459933
11,0.0007047609423705358,0.0007047609423705358,0.0009042387653607875,0.9895656987239214,0.000776735381623706,1024,1024,768,adamw,0.0001583416015155454,0.7815594799658456,0.13765608103383378
12,8.421472696163316e-05,8.421472696163316e-05,0.00017794138248063973,0.9896029465041717,0.00017937722033317487,256,1024,768,adamw,2.169946970058039e-05,0.850289924811227,0.04207111690741644
13,0.00015239284607618118,0.00015239284607618118,0.00021142407877050573,0.9892811779603968,0.00024160431269231263,256,512,768,adamw,3.830466960924203e-05,0.8466543234421222,0.04863689218192706
14,0.0007858798815928343,0.0007858798815928343,0.0005718806554796174,0.9912689242684232,0.00012001629444458152,256,768,768,adamw,1.553449998348861e-05,0.8799362438641551,0.1338985657489979
15,0.001153773254365958,0.001153773254365958,0.0009423559531569481,0.9907715030346267,9.31554958485402e-05,128,512,768,adamw,0.000368606504752761,0.8608066034447165,0.13960169893612137
16,0.0010386220303040985,0.0010386220303040985,0.000680657644988969,0.9903667002579202,4.0195030626926536e-05,1024,768,768,adamw,4.996927399083688e-05,0.8797268853934902,0.12366953388549999
17,0.00088869168451699,0.00088869168451699,0.0005241387065325398,0.99121091792994,2.0829589129610313e-05,256,1024,768,adamw,1.0872785936811707e-05,0.8442883153390873,0.11018970923355924
18,0.0008332457829890844,0.0008332457829890844,0.0005270976813335438,0.9912323735226573,2.2039595307657428e-05,256,1024,768,adamw,1.1093009508375377e-05,0.8420148907784558,0.1069770923583103
19,0.0008913425099261849,0.0008913425099261849,0.000526307184190955,0.9890544239297514,1.025280788221793e-05,256,1024,768,adamw,1.7632533327835383e-06,0.8373689467505593,0.10073020922837204
20,0.0002882626677534002,0.0002882626677534002,0.0005060700637841365,0.9881447067985432,0.00040741047533776256,256,1024,128,adamw,1.1150950860431821e-05,0.7943009705174935,0.07413661221454103
21,0.0011367107417894161,0.0011367107417894161,0.0007350440260779578,0.9914669038442672,9.357078554575492e-05,256,256,768,adamw,2.3638657421996355e-05,0.8313881157536511,0.12961908814493542
22,0.0011048965613700717,0.0011048965613700717,0.0008001862210221588,0.991089982446929,0.00012064298773214731,256,256,768,adamw,2.156619898123445e-05,0.8317352565214067,0.12967403746572626
23,0.0007106706991617846,0.0007106706991617846,0.0005156229257408995,0.9905953057864143,0.00029429449148181235,256,256,768,adamw,6.182071520515083e-05,0.8244178271579837,0.11002878332497945
24,0.00128129093021707,0.00128129093021707,0.0009075122055946849,0.9904589484154404,6.446623580210789e-05,256,256,768,adamw,6.493176527673685e-06,0.8610861641467286,0.13041046793655012
25,0.0007721990464663709,0.0007721990464663709,0.0006259884168684949,0.9915813481936439,0.00010459469533468733,256,768,768,adamw,2.5143818380411957e-05,0.8371273113617621,0.11750105699140391
26,0.001013620914558747,0.001013620914558747,0.0006304303416982294,0.9912797283029284,0.0001050745950246236,1024,768,768,adamw,2.2233374438710857e-05,0.8076651811726608,0.12222813095073835
27,0.000978485751797312,0.000978485751797312,0.0006827266188338399,0.9912634351218599,0.00010773882555547605,1024,768,768,adamw,2.6475841676551395e-05,0.8088946724171328,0.1204547190092467
28,0.00080587128676208,0.00080587128676208,0.0004023296060040593,0.9908554739076467,8.02934253109075e-05,1024,768,768,adamw,7.986872796805978e-05,0.7946729584226073,0.09887393024204473
29,0.0011782453856335915,0.0011782453856335915,0.0006797894777264446,0.9886335022305974,5.338829664178512e-05,1024,256,256,adamw,3.444646170791688e-05,0.8342128700386496,0.11714350433883838
30,0.0006738592420908984,0.0006738592420908984,0.0005202837623073719,0.9898379778193171,5.424879767860401e-05,512,768,128,adam,1.0535601184521637e-06,0.8113515008972525,0.09643566775560115
31,0.0007796328240406833,0.0007796328240406833,0.0007479739026166499,0.9908916979184982,0.00037422261577816355,1024,768,256,adamw,2.992828996923116e-06,0.8257109134041278,0.12378482155556848
32,0.0009876366734773855,0.0009876366734773855,0.0008276401902548968,0.9910702476580948,0.00012342139611292027,256,768,768,adamw,2.0701596906862134e-05,0.7978526794021474,0.13525742760229345
33,0.0010984133008410178,0.0010984133008410178,0.0008985226842924022,0.9911529551561123,0.00014041963470304817,256,768,768,adamw,1.5535183878435162e-05,0.8532550462656014,0.13205588886031716
34,0.0009204702885926265,0.0009204702885926265,0.0008603992078860756,0.9913863092320301,8.167922757529334e-05,256,768,768,adamw,7.069023996794328e-06,0.8154626468572826,0.12545504797966808
35,0.0009909007960825931,0.0009909007960825931,0.0005896354297874496,0.9909460448259393,7.574602839218418e-05,1024,768,768,adam,7.847576682459411e-06,0.8093473192090465,0.11565857125538834
36,0.0008822683984288911,0.0008822683984288911,0.0007933163668761611,0.9894144858055027,0.0002233862477142131,64,256,768,adamw,3.983452846559409e-06,0.8189549518862833,0.12494698469159099
37,0.0009946749379124153,0.0009946749379124153,0.000748492055277847,0.9916551031550045,4.7650777126036834e-05,128,768,768,adamw,4.314381985666142e-05,0.8380852174874931,0.1260607568592841
38,0.0004569697043257932,0.0004569697043257932,0.0003494782411254636,0.9910080808950341,5.23147056486749e-05,128,768,256,adamw,5.0946795643547645e-05,0.841321338067257,0.09109247950167873
39,0.0009486486435161613,0.0009486486435161613,0.000552727883207152,0.9901610097380944,2.8887996567329442e-05,128,256,768,adam,9.838508339732294e-05,0.837414178987447,0.11199572617095474
40,0.0009323577595497434,0.0009323577595497434,0.0007144353397432244,0.9907089006250134,9.086909422223318e-05,128,512,128,adamw,8.348310933362129e-06,0.81579970563256,0.12854534410162108
