trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap,w_pos,w_neg
1,0.0009758877407578865,0.0009758877407578865,0.000843664666172117,0.9792674498662304,0.00023688639503640813,1024,1024,768,adamw,0.0007114476009343421,0.8365996970905702,0.11197316968394073,1.0716205044866802,1.0193878595021286
2,0.001609366833783534,0.001609366833783534,0.00108044549706392,0.9792783410300461,0.00011430983876313228,1024,1024,768,adamw,0.0003967605077052988,0.8300557505871604,0.1141614515559209,0.9226429437253827,1.9525182817321491
3,0.0007812785690327232,0.0007812785690327232,0.0008692164323292672,0.9772545885344448,0.0006798962421591129,1024,1024,768,adamw,4.335281794951567e-06,0.8090912483603551,0.10366809019706869,1.2346664672554915,1.368426491822203
4,0.0009023982025350311,0.0009023982025350311,0.0008363298722542823,0.9791920394479697,0.0002703616066662003,1024,1024,768,adamw,7.4763120622522945e-06,0.8305926447361189,0.10278987721304084,1.22135911338874,1.2058470135386399
5,0.0009729081571187672,0.0009729081571187672,0.0011868990724906326,0.9792642478640686,0.0002858051065806936,1024,1024,768,adamw,0.0002267398652378039,0.8099836891079181,0.11028468876827223,1.5516560257482468,0.9340087209340305
6,0.0016639417842771783,0.0016639417842771783,0.0017353197210468352,0.977734997770361,0.0004050837781329676,1024,1024,768,adamw,3.247673570627449e-06,0.803252579649264,0.11897771074506666,1.9621952363820152,1.7162659789027797
7,0.0010899882496344115,0.0010899882496344115,0.0008546436729375273,0.9794328866445927,0.00020165721691808595,1024,1024,768,adamw,1.9634341572933354e-06,0.8342116513256078,0.10880304987479203,1.0342420583292569,1.3364836967487528
8,0.0015194502763678224,0.0015194502763678224,0.0010232924018055201,0.9791287617861996,0.00010824018381500966,1024,1024,768,adamw,0.0005345166110646819,0.8129389990800009,0.11325044568707963,1.2428821836983521,1.3633130476606747
9,0.001832388701364018,0.001832388701364018,0.0016034733154810965,0.9787829673350471,0.0003521358805467869,1024,1024,768,adamw,3.5856126103453987e-06,0.8484792313882279,0.11550265646722228,1.933448835720608,1.838897138085632
10,0.0007196155588180587,0.0007196155588180587,0.0007831665221601725,0.9792125148359434,0.00039618677904065835,1024,1024,768,adamw,0.0005829384542994739,0.804424625102596,0.10391965724838291,0.9497500178015919,1.1669788821185743
11,0.001438374239096076,0.001438374239096076,0.0011189109995029868,0.9796880012658146,0.0001761659644379373,1024,1024,768,adamw,1.0422971466648463e-06,0.8451548120129513,0.10693701782813243,1.5599133538027128,1.561750152250936
12,0.0014979975067592245,0.0014979975067592245,0.001288951060269028,0.9796667634963739,0.00016633217134851867,1024,1024,768,adamw,1.0790001473772835e-06,0.845592135897182,0.10759208486840446,1.6048660114909679,1.5703897463426104
13,0.0015059463413698332,0.0015059463413698332,0.0010981862898916007,0.9799846112211749,0.0001557417066131135,1024,1024,768,adamw,2.0094111846413368e-05,0.849696446444583,0.10636572500249616,1.621964451651661,1.5721478539009788
14,0.0015451008601266207,0.0015451008601266207,0.0012307174154557287,0.9800088113871737,0.00014950793417218116,1024,1024,768,adamw,2.550447643087366e-05,0.8419418368082668,0.10643534355200529,1.7488305575826324,1.5665015895645271
15,0.0015184836942056309,0.0015184836942056309,0.0013140269787982107,0.9794913504119561,0.000129818814025499,1024,1024,768,adamw,3.6333480610045054e-05,0.8198768186441591,0.10072107782239416,1.831695735727532,1.622210381969569
16,0.0010911998367507238,0.0010911998367507238,0.0012486078427173196,0.9757053640462992,0.0009985330377627196,1024,1024,768,adamw,2.4776736930829555e-05,0.8401564651710552,0.10647672546415787,1.743710450659828,1.4834561824170889
17,0.0016162301774839967,0.0016162301774839967,0.001375748182181269,0.9791210072775628,0.00014372098155738568,1024,1024,768,adamw,5.212589720639305e-05,0.8417198196258128,0.10502367142081061,1.736470981010335,1.7309526819271717
18,0.0010979985485651664,0.0010979985485651664,0.001013067364692688,0.978578496625569,0.0002147153312361185,1024,1024,768,adamw,1.4285771830109758e-05,0.8230445357055035,0.10096033152182488,1.4119583529315727,1.4297425133645174
19,0.0014512397584087234,0.0014512397584087234,0.0011649260413832963,0.9790448126955074,0.00010256263953376916,1024,1024,768,adamw,8.450874356428767e-05,0.8492959760104721,0.1103445878121259,1.4228445091692996,1.2285591502948805
20,0.0012792178348885203,0.0012792178348885203,0.0011977481073699892,0.9780150531567211,0.0005080878414534328,1024,1024,768,adamw,0.00015858392195788505,0.8409284053081407,0.10639447756199981,1.6857863890305032,1.9168256392141172
21,0.0017753068894642045,0.0017753068894642045,0.0013468501158058644,0.9797763068220334,0.00015241464449493653,1024,1024,768,adamw,1.3696027956436181e-05,0.8277522441934358,0.1088377499339335,1.8576908012671338,1.77804151852331
22,0.001740859405669783,0.001740859405669783,0.0014222451602108777,0.9788624510485752,0.00015385066069320845,1024,1024,768,adamw,1.519114132237698e-05,0.8185103728671522,0.10884092371915322,1.8500788552170127,1.7149662286907732
23,0.0015568624604588412,0.0015568624604588412,0.0014413979137316347,0.9793275473081661,0.00018846914337230532,1024,1024,768,adamw,1.021356064136914e-05,0.8282526975781355,0.1046701378499665,1.8369316986297284,1.7846189786661943
24,0.0017542618538291023,0.0017542618538291023,0.001434892020188272,0.9789308039926832,0.00012860050324401456,1024,1024,768,adamw,2.5355652390985805e-05,0.8350105203436274,0.11129071051564472,1.657043959875407,1.6366074076229955
25,0.0015337163931690156,0.0015337163931690156,0.0012078012921847403,0.9794809166770204,0.00022859543408053985,1024,1024,768,adamw,5.5815657661048545e-05,0.8441544981989665,0.10868039558504608,1.9979317085982942,1.4919250502877845
26,0.0016307186701201967,0.0016307186701201967,0.001119527069386095,0.9796544782635893,0.00013033221801666165,1024,1024,768,adamw,8.140142635093173e-06,0.8498112692202623,0.10593493406431931,1.4881493422222818,1.851689186180642
27,0.0014355603382181451,0.0014355603382181451,0.0011029749759472907,0.9794843365024586,0.00016529376008810414,1024,1024,768,adamw,1.9899061599881026e-05,0.8371236012578126,0.10226303028893025,1.7790573814720754,1.632779170747603
28,0.0013124296959603624,0.0013124296959603624,0.0012385656940750779,0.9792674498662304,0.00026715622944183484,1024,1024,768,adamw,8.049517944172745e-05,0.8265586131408008,0.10819092016295812,1.6333281654782854,1.4862971374041414
29,0.0022381388686825428,0.0022381388686825428,0.0018567335093393922,0.9794451936597046,0.00014429261873179366,1024,1024,768,adamw,5.082759599300454e-06,0.8217745828341988,0.11691815385048379,1.8830202867334191,1.9814611811336873
30,0.0011847008587507416,0.0011847008587507416,0.0010479866759851575,0.9791026229930417,0.00024210264091404233,1024,1024,768,adamw,3.7742109181798685e-05,0.8161067968821477,0.1115518293307739,1.3393976909900251,1.2813975467854208
31,0.0013318576039841436,0.0013318576039841436,0.0010872176149860024,0.9797782454491926,0.00019015141638917997,1024,1024,768,adamw,1.091855973546659e-05,0.8377304281921207,0.1125860102074997,1.709866942658928,1.0931725912396837
32,0.0013910991018542982,0.0013910991018542982,0.0010545240889769047,0.9792929351895594,0.00019417587003150823,1024,1024,768,adamw,1.2603252075609018e-05,0.837590786189355,0.11400476594302028,1.723998139596885,1.0983966918391794
33,0.001405676800700627,0.001405676800700627,0.0010654704237822443,0.9789203920400754,0.0001284068565887979,1024,1024,768,adamw,6.447712341895534e-06,0.8326096899310896,0.11260166526570409,1.9015292733091054,0.9932151645642687
34,0.001370954324909467,0.001370954324909467,0.0009649312822148203,0.9772873491552028,0.0001174638827617491,1024,1024,768,adamw,1.799502307318173e-05,0.8392777886126772,0.1095612435890066,1.770892165473008,1.033243298785975
35,0.0011691774980507183,0.0011691774980507183,0.000873980124015361,0.9788029852941408,0.00016027713411266386,1024,1024,768,adamw,1.0327002711642686e-05,0.8435622655670447,0.1053638265020572,1.5135572105738213,1.1431619972738927
36,0.0010880942198647453,0.0010880942198647453,0.0009163397247903049,0.9781993534308124,0.00023855323598482778,1024,1024,768,adamw,3.064170799192198e-05,0.8467475892779394,0.11077528509518213,1.597507359260966,0.9075432511016667
37,0.0012083219872711568,0.0012083219872711568,0.0011494981939904393,0.9781992445191743,0.0003163661347608696,1024,1024,768,adamw,2.4032602737841405e-06,0.8320775054509275,0.10764238655545591,1.6709319354662933,1.4388598413420914
38,0.0013967293388286264,0.0013967293388286264,0.0011194615741260349,0.9796308226557816,0.00018388791467238905,1024,1024,768,adamw,5.801412334235187e-06,0.8427754717960212,0.10301313495372703,1.8132527595923258,1.5570706439307127
39,0.0016279481612716097,0.0016279481612716097,0.0013154863845556974,0.9794099062889413,0.00011372352860755777,1024,1024,768,adamw,0.00013024571074254454,0.8286162954961337,0.11243982116757853,1.7049314800571165,1.2932545053178923
40,0.001737794209252663,0.001737794209252663,0.0014587019803002476,0.979283960870575,0.0001416011866128646,1024,1024,768,adamw,4.504610721293033e-05,0.8351223845581969,0.11546858206383792,1.3493799963384616,1.6945077932871386
41,0.001480105304520349,0.001480105304520349,0.0014021979295648634,0.9793446464353569,0.00020250006495152245,1024,1024,768,adamw,9.106118871391804e-06,0.8250962878107431,0.10949806618978815,1.9225833319846009,1.3980682976081764
42,0.0014244296792324405,0.0014244296792324405,0.0011142388510052114,0.980073178165325,0.0001774882918448444,1024,1024,768,adamw,1.8237773835293675e-06,0.8467094225709256,0.1072157835379286,1.533170980428983,1.5470971569301708
43,0.0015583608765155077,0.0015583608765155077,0.001227540837135166,0.9796768487140672,0.0001778138654523413,1024,1024,768,adamw,2.066740438882505e-06,0.8469972285949852,0.10729563903635958,1.5571929568183347,1.798672615541731
44,0.001405975919178858,0.001405975919178858,0.0010695706587284803,0.9799889676867012,0.0001552301933265698,1024,1024,768,adamw,3.136687689142894e-06,0.8468963790034093,0.10371050791856028,1.607995154512919,1.5465052246939606
45,0.001185334332724463,0.001185334332724463,0.0010333067562896757,0.9789186712361924,0.00027037594735874863,1024,1024,768,adamw,1.501865733412057e-06,0.8463047932889463,0.10378281094277012,1.496303567947498,1.5387533339316048
46,0.0011218273822142153,0.0011218273822142153,0.0009342356876004487,0.9794651898364705,0.00021396985266034624,1024,1024,768,adamw,3.244025356717662e-06,0.8385112854422231,0.10183307145471374,1.6039745372940792,1.3294515262197892
47,0.0013189539942909411,0.0013189539942909411,0.0009630278451368213,0.9796462445437446,0.00011946808915425493,1024,1024,768,adamw,0.0009543684178918391,0.847299580103748,0.10412334199473022,1.1379664424715534,1.6272828678751383
48,0.0013640062427338288,0.0013640062427338288,0.0010624134913086892,0.9791983781053103,0.00017252817131583521,1024,1024,768,adamw,4.0182244559291395e-06,0.8438647155685894,0.10537525873065198,1.540079224973344,1.509739528358453
49,0.0009935286712158015,0.0009935286712158015,0.0008842720475513488,0.9785420112267859,0.0004595269243905696,1024,1024,768,adamw,1.3496225991958307e-06,0.8499480936366763,0.10322176730854525,1.4511578748149554,1.3892122624604544
50,0.0015327392849234902,0.0015327392849234902,0.001128425810020417,0.9787539532746417,0.0001043409442328713,1024,1024,768,adamw,3.1491500121582294e-06,0.8414805542913654,0.1059298480842535,1.6261888546992536,1.452199346947792
