lr,batch_size,internal_layer_size,optimizer,weight_decay,output_dim,margin,value,state
4.3284502212938785e-05,64,256,adam,3.5113563139704077e-06,512,0.3307642621173752,-inf,TrialState.COMPLETE
3.1245650712608725e-05,64,128,adam,0.0007025166339242157,128,0.11348687410414951,-inf,TrialState.COMPLETE
0.00014537555576161912,1024,256,adamw,0.0006584106160121611,512,0.10752012633374766,-inf,TrialState.COMPLETE
2.1526280972215275e-05,1024,1024,adamw,3.945908811099999e-06,256,0.5238546592266417,-inf,TrialState.COMPLETE
0.0002043455498416141,512,1024,adamw,2.2844556850020545e-06,256,0.5511286669704646,-inf,TrialState.COMPLETE
6.90150658179192e-05,64,768,adamw,1.7019223026554036e-06,512,0.575278246716871,-inf,TrialState.COMPLETE
0.00011916095713775816,512,256,sgd,1.0491954332267908e-06,128,0.12791248876689382,-inf,TrialState.COMPLETE
3.7462611558389604e-05,64,128,sgd,3.2213437409123405e-05,512,0.20571522893353206,-inf,TrialState.COMPLETE
1.7626741740706325e-05,128,256,sgd,9.169384722192327e-06,512,0.4904168351974835,-inf,TrialState.COMPLETE
1.0670437436886865e-05,1024,256,adam,9.548873458201664e-05,128,0.20720398908529358,-inf,TrialState.COMPLETE
0.0004034211273268901,256,512,adam,1.3123555471846921e-05,512,0.32478836126265836,-inf,TrialState.COMPLETE
4.6426473005404896e-05,64,128,adam,0.0006877477209765809,128,0.3557907368750274,-inf,TrialState.COMPLETE
3.094866358498465e-05,64,128,adam,0.00017800905739015342,128,0.2572945646831468,-inf,TrialState.COMPLETE
7.493491502738802e-05,64,512,adam,5.984609011915998e-05,128,0.6974107456358329,-inf,TrialState.COMPLETE
1.7695738650696722e-05,128,768,adam,0.00025058621201582397,256,0.28935541209773424,-inf,TrialState.COMPLETE
6.080131638960944e-05,256,128,adam,1.1516966406731237e-05,512,0.07149678365785112,-inf,TrialState.COMPLETE
3.337324097858758e-05,64,128,adam,3.7988957579324854e-06,128,0.43351416485062566,-inf,TrialState.COMPLETE
1.1068110308791872e-05,64,256,adam,2.6414556137639753e-05,128,0.1741510465517137,-inf,TrialState.COMPLETE
9.61920246269325e-05,64,512,adam,0.00026880003190849443,512,0.4032921966499418,-inf,TrialState.COMPLETE
2.3316737975862587e-05,256,768,sgd,5.752817448327636e-06,256,0.6365877330286297,-inf,TrialState.COMPLETE
5.3070740688109843e-05,512,1024,adam,2.4420071160375532e-05,512,0.05662877248791148,-inf,TrialState.COMPLETE
0.0001852109278586268,1024,256,adamw,0.0009794684747300992,512,0.12749414254618865,-inf,TrialState.COMPLETE
0.00015806466220100656,1024,256,adamw,0.00047728664014748786,512,0.12641937793154923,-inf,TrialState.COMPLETE
0.00038720074853959156,1024,256,adamw,0.0004057028833517951,512,0.24191091869588585,-inf,TrialState.COMPLETE
0.0001083538321358269,128,256,adamw,0.00010226377108539893,512,0.14954670196693828,-inf,TrialState.COMPLETE
0.00027294382570989997,1024,128,adamw,0.0008106149171392754,128,0.0890285277797946,-inf,TrialState.COMPLETE
4.0713843593370534e-05,64,256,adam,0.00042675148103411755,512,0.46634458668765966,-inf,TrialState.COMPLETE
8.456735607813042e-05,64,256,adamw,0.00014570937056907304,512,0.30689216268375386,-inf,TrialState.COMPLETE
0.00013285044307104478,1024,128,adam,4.992224422085125e-05,128,0.18796894307976475,-inf,TrialState.COMPLETE
2.387197622032819e-05,1024,1024,sgd,0.000269702628334889,256,0.24607319919680085,-inf,TrialState.COMPLETE
